objid,ra,dec,u,g,r,i,z,photoZ,type
1237661060111010375,49.7275475018458,42.1152002918075,24.70365,25.51151,22.60702,24.60855,21.97431,0.006541,3
1237661122388033792,49.9067245903008,41.3910042086662,25.38902,24.27291,25.38168,22.10077,23.30842,0.019789,3
1237670959484307456,49.9053517762501,40.9006556175796,27.65667,24.851,24.96839,20.57471,20.64183,0.005594,3
1237661060111336268,50.6357347309856,41.6532419585957,25.8878,22.38877,24.87133,23.47002,22.65923,0.015373,3
1237661082662472056,49.5815005927236,40.6795034737695,26.29506,25.8444,22.65007,25.08784,23.90012,0.006724,3
1237661055281597147,49.4404226249286,41.6487706624408,24.80049,24.12758,24.42873,22.37433,21.57575,0.012047,3
1237661055281923529,50.2275334849107,41.2636083247389,19.36278,18.06544,17.46085,17.15576,16.88482,0.027465,3
1237661060648078100,50.5878244815821,42.2522824035381,24.90988,23.39195,21.73475,22.11524,21.75134,0.00885,3
1237661083199275626,49.8001129036575,41.0892324948721,17.29945,15.2309,14.28679,13.73075,13.31919,0.024586,3
1237661121851425264,50.3263280846697,40.6273188500208,17.41272,15.4676,14.53604,14.09019,13.71383,0.026615,3
1237661055818662302,50.1376824381434,41.7322568494812,18.30739,16.4603,15.77337,15.40065,15.18138,0.021562,3
1237661059574399003,49.9960587326741,41.4796031230952,16.52263,14.58982,13.62353,13.1541,12.81491,0.027863,3
1237661059574530101,50.4019434471473,41.3928118601316,16.4895,14.32924,13.28829,12.78523,12.46972,0.026876,3
1237661060648075332,50.4573292661956,42.2407634091382,22.89519,20.91654,20.60766,20.48299,19.88673,0.029747,3
1237661083199275572,49.6931810013831,41.0311269668324,17.83786,16.28913,15.59661,15.26017,15.11529,0.014425,3
1237661055818858761,50.6019037041979,41.4798532262884,17.19545,15.12941,14.15168,13.61127,13.20353,0.023299,3
1237661056355402513,50.1627919964797,42.1763112454239,18.07366,16.29149,15.63547,15.43561,15.22639,0.009513,3
