ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0
2MASXJ03190207+4137121,1237661059574269233,49.7588315410012,41.6199281631011,3629,301,1,66,GALAXY,17.63144,15.91389,15.12282,14.77039,14.5088
2MASXJ03194021+4119450,1237661055281856613,49.9174877752449,41.329199124333,3628,301,1,105,GALAXY,16.87413,14.99949,14.16491,13.78382,13.50341
2MASXJ03201737+4120562,1237661055281856927,50.0724503707054,41.3489308050053,3628,301,1,105,GALAXY,17.16004,15.44066,14.63221,14.27129,13.97626
NGC1271,1237661122388033579,49.7970434338466,41.3531956441627,3643,301,6,64,GALAXY,15.96502,14.09906,13.24014,12.82744,12.54209
2MASXJ03184479+4130411,1237661055281726031,49.6867314024724,41.5114441278751,3628,301,1,103,GALAXY,18.20132,16.38247,15.58811,15.19788,15.00193
NGC1268,1237661055281725866,49.6881724305479,41.488763964252,3628,301,1,103,GALAXY,15.88764,14.23406,13.74046,13.44839,13.31345
LCSBS0532P,1237661059574268293,49.7414833652148,41.6350645495977,3629,301,1,66,GALAXY,17.6591,15.85613,15.06025,14.70061,14.44368
2MASXJ03204218+4124145,1237661059574464562,50.1757659779366,41.4039750855401,3629,301,1,69,GALAXY,16.84221,15.10788,14.20835,13.81554,13.67696
NGC1267,1237661055281725840,49.6875347353911,41.4678465035982,3628,301,1,103,GALAXY,15.52483,13.77229,14.74934,14.89098,13.20969
2MASXJ03184738+4125421,1237661055281726251,49.6974775004555,41.4283735909945,3628,301,1,103,GALAXY,16.97001,15.20529,14.43681,14.04261,13.79561
2MASXJ03195296+4118082,1237661055281856815,49.97079148252,41.3024649801668,3628,301,1,105,GALAXY,16.04403,14.09279,13.33511,12.89543,12.60219
2MASXJ03205074+4136015,1237661055818727654,50.2112693970303,41.6004244574191,3628,301,2,105,GALAXY,16.11812,14.19643,13.35217,12.93474,12.65784
2MASXJ03185112+4123321,1237661055281726775,49.7128793782931,41.3923537508079,3628,301,1,103,GALAXY,17.6529,16.06325,15.31309,14.96907,14.73756
2MASXJ03205776+4130229,1237661059574399996,50.2408881111513,41.5063450312193,3629,301,1,68,GALAXY,16.51487,14.54489,13.62031,13.19447,12.89596
2MASXJ03205658+4126205,1237661059574464709,50.2357250698434,41.4388504396474,3629,301,1,69,GALAXY,19.18066,17.82471,16.74919,16.38744,16.30022
CGCG540-089,1237661055281725859,49.6497321108168,41.4772107973264,3628,301,1,103,GALAXY,16.44662,14.54128,13.65955,13.26645,13.19794
2MASXJ03210041+4133449,1237661055818727967,50.2517165772434,41.5624636826162,3628,301,2,105,GALAXY,16.46208,14.54784,13.71066,13.29809,12.96585
2MASXJ03194454+4116411,1237661055281856814,49.9356066702471,41.2780792749815,3628,301,1,105,GALAXY,16.41158,14.43092,13.61605,13.18622,13.02821
