ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,Redshift,RedshiftFlag
SDSSJ012319.07+332622.9,1237678806920266712,20.8294927787588,33.439695710791604,7761,301,2,131,GALAXY,22.13427,22.48576,20.9216,20.036270000000002,19.74904,0.519991,SPEC
IC1689,1237678806383460363,20.9494758372762,33.0552940409504,7761,301,1,132,GALAXY,16.32584,14.54454,13.68254,13.2562,13.03539,0.015231,
IC1692,1237666214078251439,21.164687673505398,33.2357494305744,4829,301,2,163,GALAXY,17.043979999999998,15.27118,14.458770000000001,14.03897,13.710779999999998,0.018429,
SDSSJ012319.72+332717.7,1237678806920266714,20.8321829308052,33.454932541852,7761,301,2,131,GALAXY,25.65081,23.475920000000002,21.66469,20.40766,20.41393,0.31609499999999996,SPEC
IC1691,1237666214078316947,21.107333978488104,33.407160330383,4829,301,2,164,GALAXY,17.44896,15.68462,14.84944,14.430639999999999,14.135729999999999,0.016621,
SDSSJ012246.43+330821.5,1237666214615057406,20.693461037297897,33.1393263328501,4829,301,3,162,GALAXY,22.9976,21.84356,20.181720000000002,19.349439999999998,18.79999,0.447974,SPEC
IC1684,1237666214615187768,20.7212687826461,33.4135262901113,4829,301,3,164,GALAXY,16.84413,15.07976,14.24053,13.81698,13.464229999999999,0.013403,
SDSSJ012307.44+330333.3,1237678806383394877,20.781036357167,33.0592685753861,7761,301,1,131,GALAXY,24.07059,21.033279999999998,19.384420000000002,18.6323,18.2463,0.263898,SPEC
NGC0499,1237678806920200279,20.7979218399231,33.4602019731139,7761,301,2,130,GALAXY,14.89432,12.91647,11.983369999999999,11.50555,11.14012,0.014672999999999999,
SDSSJ012244.88+330758.7,1237666214615056933,20.6869987365144,33.132985685173395,4829,301,3,162,GALAXY,22.27502,20.32299,18.751720000000002,17.95149,17.4766,0.44944399999999995,SPEC
SDSSJ012240.59+330823.1,1237666214615056581,20.6691387248933,33.139748787603104,4829,301,3,162,GALAXY,24.579710000000002,20.36051,18.57444,17.73835,17.31796,0.44984700000000005,SPEC
SDSSJ012346.59+332936.3,1237678806920266533,20.944138674646002,33.4934316031082,7761,301,2,131,GALAXY,26.39295,22.39183,20.56918,19.45064,18.97741,0.564733,SPEC
2MASSJ01230382+3327564,1237666214615253611,20.765964494849502,33.4656483563946,4829,301,3,165,GALAXY,22.31371,20.35538,18.667460000000002,18.099429999999998,17.74405,0.29490900000000003,SPEC
SDSSJ012417.14+330229.7,1237666214078186012,21.071415615474397,33.0415981525813,4829,301,2,162,GALAXY,22.51313,20.43925,19.13513,18.57339,18.18676,0.181845,SPEC
2MASSJ01232536+3330149,1237678806920266162,20.855610725867102,33.5041664618705,7761,301,2,131,GALAXY,22.0933,20.15567,18.5093,17.95798,17.581770000000002,0.252825,SPEC
NGC0498,1237678806920200289,20.7969577172688,33.4893331829981,7761,301,2,130,GALAXY,17.28657,15.48471,14.64284,14.23289,13.91337,0.020518,
SDSSJ012243.82+330518.6,1237666214615057250,20.6826200473704,33.0885069534854,4829,301,3,162,GALAXY,24.065939999999998,20.965729999999997,19.212889999999998,18.557779999999998,18.13281,0.369421,SPEC
SDSSJ012323.75+330006.5,1237678806383395708,20.8489704067864,33.0018210518047,7761,301,1,131,GALAXY,22.40567,21.85981,20.037129999999998,19.164260000000002,19.016370000000002,0.366985,SPEC
NGC0495,1237666214615252998,20.7331485206572,33.471412078829104,4829,301,3,165,GALAXY,15.879029999999998,13.900220000000001,13.0093,12.572289999999999,12.2627,0.013722999999999999,
SDSSJ012409.34+333034.7,1237666214078382648,21.0389477976064,33.5096439131212,4829,301,2,165,GALAXY,24.90488,23.14191,21.41246,19.9609,19.262710000000002,0.658914,SPEC
SDSSJ012450.58+332233.1,1237666214078317590,21.2107522113803,33.3758582855435,4829,301,2,164,GALAXY,26.15174,22.25338,20.67541,19.694110000000002,19.17817,0.565796,SPEC
CGCG502-055,1237666214615056502,20.641604928414,33.103319306569,4829,301,3,162,GALAXY,17.9079,15.49225,14.692429999999998,14.25968,14.0623,0.020144,
SDSSJ012434.81+332719.6,1237666214078383070,21.1450445800389,33.4554458976252,4829,301,2,165,GALAXY,24.011129999999998,21.677670000000003,20.02187,19.134529999999998,18.76391,0.473725,SPEC
SDSSJ012257.68+330101.0,1237678806383395309,20.7403596261167,33.0169611782528,7761,301,1,131,GALAXY,21.445510000000002,21.71322,20.622970000000002,19.64999,19.33786,0.623942,SPEC
SDSSJ012244.22+330311.1,1237666214615056964,20.6842845865525,33.0530983518407,4829,301,3,162,GALAXY,23.28595,21.19066,19.43725,18.617820000000002,18.16272,0.452039,SPEC
SDSSJ012310.13+333105.7,1237678806920200561,20.7922459799416,33.5182710161541,7761,301,2,130,GALAXY,25.26043,21.02617,19.06271,18.39687,17.976020000000002,0.40463699999999997,SPEC
SDSSJ012500.68+331423.3,1237678892815745874,21.252860910694,33.2398235745719,7781,301,2,72,GALAXY,21.96258,21.45597,20.432779999999998,19.71718,19.50731,0.240925,SPEC
NGC0517,1237666214078382122,21.1825236385231,33.429594689697296,4829,301,2,165,GALAXY,15.53439,13.6358,12.78701,12.34394,12.0483,0.014022999999999999,
2MASSJ01242233+3330106,1237666214078382346,21.0932636794343,33.50307802586261,4829,301,2,165,GALAXY,23.03941,20.2295,18.60805,17.95822,17.63522,0.27774,SPEC
NGC0496,1237678806920200549,20.7983279381364,33.5292769644753,7761,301,2,130,GALAXY,15.396579999999998,14.161589999999999,13.48265,13.15825,12.9503,0.020034,
2MASXJ01245547+3322555,1237666214078316706,21.2311229773762,33.38203566029,4829,301,2,164,GALAXY,20.13096,18.03681,16.86263,16.30981,15.8759,0.123856,SPEC
WHLJ012455.5+332255,1237666214078316706,21.2311229773762,33.38203566029,4829,301,2,164,GALAXY,20.13096,18.03681,16.86263,16.30981,15.8759,0.1245,SPEC
SDSSJ012446.23+332619.3,1237666214078382129,21.1926326772957,33.4387096207271,4829,301,2,165,GALAXY,28.9379,18.64644,16.926379999999998,16.281760000000002,26.889329999999998,-3.4e-05,SPEC
SDSSJ012434.31+330147.8,1237666214078186383,21.142981776178697,33.0299713889507,4829,301,2,162,GALAXY,24.83577,21.68581,19.90318,19.102520000000002,18.62833,0.559286,SPEC
SDSSJ012301.55+325927.8,1237678806383395343,20.7564835704972,32.991050317217,7761,301,1,131,GALAXY,25.42278,22.02818,21.00339,19.8647,19.335929999999998,0.667409,SPEC
SDSSJ012235.36+332702.4,1237666214615188434,20.6473409569259,33.4506752022167,4829,301,3,164,GALAXY,25.03169,22.00521,20.39479,19.30715,18.787020000000002,0.5202289999999999,SPEC
NGC0515,1237666214078382275,21.1604460506439,33.472740844183505,4829,301,2,165,GALAXY,16.15214,14.22855,13.27691,12.777460000000001,12.40811,0.017002,
SDSSJ012338.98+333326.4,1237678893352485721,20.912440524433,33.5573319944813,7781,301,3,70,GALAXY,22.98507,22.25375,20.71505,19.75391,19.31278,0.520891,SPEC
SDSSJ012504.75+331151.7,1237678892815745938,21.2698237470926,33.1976972154954,7781,301,2,72,GALAXY,24.1386,22.41452,20.65221,19.6306,19.086879999999997,0.553988,SPEC
WHLJ012504.8+331152,1237678892815745938,21.2698237470926,33.1976972154954,7781,301,2,72,GALAXY,24.1386,22.41452,20.65221,19.6306,19.086879999999997,0.5539,SPEC
IC1682,1237666214615122120,20.554990850312,33.2603427663446,4829,301,3,163,GALAXY,16.37144,14.50482,13.607829999999998,13.20209,12.87841,0.014443000000000001,
SDSSJ012505.89+331258.5,1237678892815746161,21.274541731487,33.2162661245206,7781,301,2,72,GALAXY,23.49009,22.23988,20.71745,19.72994,19.15081,0.611425,SPEC
