ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,Redshift,RedshiftFlag
MCG+07-07-070,1237661055818662378,50.0919190530383,41.640916924067504,3628,301,2,104,GALAXY,15.793429999999999,14.92256,14.497620000000001,14.40685,14.28626,0.012505,
2MASXJ03202094+4122254,1237661059574399831,50.0873396338013,41.3737384253356,3629,301,1,68,GALAXY,17.972620000000003,15.87589,14.85294,14.35358,13.97461,0.023416,
2MASXJ03201009+4121043,1237661055281856931,50.042199611437596,41.3511482548724,3628,301,1,105,GALAXY,17.08822,15.73901,15.10569,14.76094,14.50785,0.006901000000000001,
2MASXJ03190207+4137121,1237661059574269233,49.75883154100121,41.6199281631011,3629,301,1,66,GALAXY,18.5124,16.562089999999998,15.59295,15.126879999999998,14.761560000000001,0.01851,SPEC
2MASXJ03194021+4119450,1237661055281856613,49.917487775244894,41.329199124333,3628,301,1,105,GALAXY,17.72459,15.62525,14.61876,14.127970000000001,13.74741,0.020581,
2MASXJ03201737+4120562,1237661055281856927,50.0724503707054,41.348930805005295,3628,301,1,105,GALAXY,18.020210000000002,16.07357,15.091239999999999,14.61936,14.22304,0.017462000000000002,
NGC1271,1237661122388033579,49.797043433846596,41.3531956441627,3643,301,6,64,GALAXY,16.81728,14.72615,13.69496,13.172310000000001,12.786610000000001,0.019183000000000002,
2MASXJ03184479+4130411,1237661055281726031,49.686731402472404,41.5114441278751,3628,301,1,103,GALAXY,19.08229,17.03068,16.058239999999998,15.55437,15.254679999999999,0.02394,SPEC
NGC1268,1237661055281725866,49.688172430547894,41.488763964252,3628,301,1,103,GALAXY,16.76672,14.88088,14.209589999999999,13.804110000000001,13.565660000000001,0.010884,
LCSBS0532P,1237661059574268293,49.7414833652148,41.6350645495977,3629,301,1,66,GALAXY,18.54792,16.51011,15.53457,15.060279999999999,14.69869,0.013637999999999999,SPEC
2MASXJ03204218+4124145,1237661059574464562,50.1757659779366,41.403975085540104,3629,301,1,69,GALAXY,17.71486,15.74996,14.67404,14.168660000000001,13.927320000000002,0.012237999999999999,
NGC1267,1237661055281725840,49.687534735391104,41.4678465035982,3628,301,1,103,GALAXY,16.4017,14.41748,15.21729,15.24581,13.461260000000001,0.016875,
2MASXJ03184738+4125421,1237661055281726251,49.697477500455506,41.428373590994504,3628,301,1,103,GALAXY,17.84461,15.84881,14.90355,14.396529999999998,14.04654,0.019967,
2MASXJ03195296+4118082,1237661055281856815,49.97079148252,41.302464980166796,3628,301,1,105,GALAXY,16.89135,14.716239999999999,13.787289999999999,13.2383,12.8453,0.0121,
2MASXJ03205074+4136015,1237661055818727654,50.21126939703029,41.6004244574191,3628,301,2,105,GALAXY,16.96005,14.81591,13.801470000000002,13.275429999999998,12.899389999999999,0.0177,
2MASXJ03185112+4123321,1237661055281726775,49.7128793782931,41.3923537508079,3628,301,1,103,GALAXY,18.528129999999997,16.70724,15.780170000000002,15.32324,14.98867,0.020630000000000003,SPEC
2MASXJ03205776+4130229,1237661059574399996,50.24088811115129,41.5063450312193,3629,301,1,68,GALAXY,17.40995,15.203479999999999,14.097970000000002,13.55667,13.15276,0.016561000000000003,
2MASXJ03205658+4126205,1237661059574464709,50.2357250698434,41.438850439647396,3629,301,1,69,GALAXY,20.06581,18.47599,17.22156,16.745620000000002,16.55418,0.020104,SPEC
CGCG540-089,1237661055281725859,49.64973211081679,41.4772107973264,3628,301,1,103,GALAXY,17.339679999999998,15.198379999999998,14.13613,13.627820000000002,13.45416,0.011148,
2MASXJ03210041+4133449,1237661055818727967,50.25171657724339,41.562463682616205,3628,301,2,105,GALAXY,17.31795,15.177579999999999,14.1674,13.644420000000002,13.2114,0.016081,
2MASXJ03194454+4116411,1237661055281856814,49.9356066702471,41.2780792749815,3628,301,1,105,GALAXY,17.243560000000002,15.04309,14.06005,13.52289,13.266910000000001,0.018006,
2MASXJ03204928+4122145,1237661059574464751,50.205482070789,41.3706843352631,3629,301,1,69,GALAXY,17.0914,15.01419,13.95345,13.42124,13.08728,0.016511,
2MASXJ03201328+4117122,1237661055281857617,50.055279037161796,41.2868743263484,3628,301,1,105,GALAXY,18.098329999999997,16.40142,15.6514,15.2905,15.03911,0.023606,
2MASXJ03210424+4133199,1237661055818727970,50.2676412089476,41.5556280734172,3628,301,2,105,GALAXY,18.04777,15.99267,15.02012,14.5306,14.14088,0.015144,
2MASXJ03210142+4126039,1237661059574465600,50.2558101944956,41.43446266571571,3629,301,1,69,GALAXY,19.03753,17.05544,16.11115,15.6385,15.25828,0.013347,SPEC
2MASXJ03194676+4116132,1237661055281856829,49.9449358441035,41.270382598862,3628,301,1,105,GALAXY,20.37255,16.1908,15.31449,14.791820000000001,14.57438,0.015265,SPEC
2MASXJ03185824+4142091,1237661059574268044,49.742770051483795,41.7023783449143,3629,301,1,66,GALAXY,17.08512,15.02886,14.063189999999999,13.583079999999999,13.18203,0.014166,
2MASXJ03210223+4124339,1237661059574464845,50.259278512821396,41.409475221360395,3629,301,1,69,GALAXY,17.56315,15.41905,14.41685,13.89626,13.501439999999999,0.016595,
2MFGC02743,1237661055818662302,50.1376824405423,41.732256847018,3628,301,2,104,GALAXY,18.30601,16.45993,15.76261,15.385620000000001,15.15431,0.024397,
UGC02673,1237661055281856813,50.0068229200445,41.2511539899184,3628,301,1,105,GALAXY,16.36506,14.17734,13.18547,12.6601,12.286439999999999,0.014790000000000001,
2MASXJ03183887+4140080,1237661059574203221,49.662149427877,41.66894258942771,3629,301,1,65,GALAXY,18.08353,15.95723,14.9874,14.49942,14.11045,0.014407,
2MFGC02715,1237661059574203219,49.647606950302105,41.66702695586721,3629,301,1,65,GALAXY,16.71806,15.22535,14.436110000000001,14.02091,13.82954,0.025518,
2MASXJ03182094+4127487,1237661055281725582,49.5872989276823,41.46351321684671,3628,301,1,103,GALAXY,17.95308,15.4717,14.496670000000002,13.95635,13.688310000000001,0.016455,
2MASXJ03181889+4128097,1237661055281725581,49.578865289995896,41.469367158355,3628,301,1,103,GALAXY,18.03625,15.98475,15.02314,14.4865,14.10121,0.011821,
2MASXJ03203209+4145305,1237661055818663051,50.1336678620696,41.758470709165294,3628,301,2,104,GALAXY,17.896639999999998,15.877289999999999,14.88318,14.360370000000001,13.974029999999999,0.016718,
CGCG540-087,1237661055281725940,49.5937534670164,41.4097756381396,3628,301,1,103,GALAXY,16.588079999999998,14.57073,13.56567,13.03384,12.58049,0.021575,
2MASXJ03204603+4144055,1237661055818662522,50.191642619450995,41.7349372552805,3628,301,2,104,GALAXY,17.9648,15.958429999999998,14.98828,14.491520000000001,14.117579999999998,0.017876,
CGCG540-113,1237661059574465017,50.3368369796257,41.4600597367946,3629,301,1,69,GALAXY,16.99991,14.811110000000001,13.78997,13.321670000000001,12.89423,0.014713999999999998,
2MASXJ03190434+4113581,1237661083199275362,49.76793671115271,41.232850196600396,3634,301,5,107,GALAXY,17.893629999999998,16.17503,14.944360000000001,14.581829999999998,14.29774,0.018283,
2MASXJ03212883+4132129,1237661055818793115,50.3700287078391,41.536951511645896,3628,301,2,106,GALAXY,17.55,15.4183,14.389679999999998,13.88315,13.504470000000001,0.019827,
2MASXJ03182768+4119167,1237661122387968730,49.615225883289206,41.3213174252472,3643,301,6,63,GALAXY,19.50088,17.54715,16.6047,16.114729999999998,15.7733,0.018787,SPEC
2MASXJ03203393+4113185,1237661055281923151,50.1414808228767,41.2218467088852,3628,301,1,106,GALAXY,19.20843,17.39572,16.48199,16.04886,15.704170000000001,0.022747,SPEC
2MASXJ03213127+4132509,1237661055818793134,50.3802762291804,41.547453628995,3628,301,2,106,GALAXY,18.99288,17.168429999999997,16.280279999999998,15.834970000000002,15.496889999999999,0.012881,SPEC
2MASXJ03181800+4140307,1237661059574202928,49.5750012535279,41.6753256017887,3629,301,1,65,GALAXY,17.43818,15.839120000000001,14.98136,14.564689999999999,14.216820000000002,0.016171,
2MASXiJ0318058+413452,1237661055281661215,49.5244020176062,41.5813582967438,3628,301,1,102,GALAXY,19.31092,17.29062,16.31469,15.86135,15.516010000000001,0.019193,SPEC
2MASXJ03200718+4149583,1237670960021569639,50.030128209702504,41.8328072039197,5934,301,2,231,GALAXY,17.07913,15.08358,14.08503,13.578220000000002,13.2241,0.014143000000000001,
CGCG540-115,1237661055818793331,50.3925238237887,41.506161375992896,3628,301,2,106,GALAXY,17.108079999999998,15.09999,14.0253,13.4663,12.96092,0.023469999999999998,
2MASXJ03185439+4148111,1237661055818531427,49.7268858670535,41.80303853957471,3628,301,2,102,GALAXY,18.61593,16.48261,15.49425,14.989289999999999,14.616629999999999,0.014887000000000001,
2MASXJ03183170+4116259,1237661083199210512,49.631956125936,41.2740581745265,3634,301,5,106,GALAXY,17.87351,15.886079999999998,14.9081,14.415020000000002,14.026829999999999,0.017741999999999997,
NGC1264,1237661055281660332,49.4981574474131,41.520368860724794,3628,301,1,102,GALAXY,16.659000000000002,14.577079999999999,13.574160000000001,13.07657,12.68618,0.010827,
2MASXJ03195520+4110212,1237661055281857673,49.9798978192562,41.1726324626266,3628,301,1,105,GALAXY,19.17409,17.347360000000002,16.48466,16.08295,15.77537,0.01635,SPEC
2MASXJ03180178+4135337,1237661055281660253,49.507330861447,41.5926931130778,3628,301,1,102,GALAXY,18.16837,16.27066,15.16031,14.576120000000001,14.18546,0.0141,
2MASXJ03175762+4129496,1237661055281660630,49.4898628881974,41.4973067699498,3628,301,1,102,GALAXY,17.63958,15.63751,14.68537,14.2037,13.84355,0.015813999999999998,
NGC1293,1237661059574530101,50.4019434490639,41.392811859839796,3629,301,1,70,GALAXY,16.481170000000002,14.320429999999998,13.28219,12.77825,12.45498,0.013919999999999998,
2MASXJ03182297+4116077,1237661083199209781,49.595755000385296,41.268898838047704,3634,301,5,106,GALAXY,18.34083,16.30266,15.38349,14.9252,14.55366,0.0133,
2MASXJ03210882+4115109,1237661059574530716,50.2869381042702,41.2530385707562,3629,301,1,70,GALAXY,18.25986,16.319679999999998,15.383320000000001,14.91895,14.565970000000002,0.015858,
2MASXJ03181640+4144057,1237661059574202785,49.568545187759,41.734902368592,3629,301,1,65,GALAXY,17.31374,15.20669,14.17271,13.655610000000001,13.26925,0.022299,
2MASXJ03193592+4109041,1237661083199340713,49.8996627481046,41.15115035315971,3634,301,5,108,GALAXY,17.257260000000002,15.2659,14.318660000000001,13.81821,13.426860000000001,0.019517,
CGCG540-085,1237661055281660551,49.46283966926471,41.45082072367,3628,301,1,102,GALAXY,16.7024,14.66862,13.675279999999999,13.144179999999999,12.73435,0.014577000000000001,
2MASSJ03213780+4121280,1237661059574530116,50.4075544227028,41.3578114672719,3629,301,1,70,GALAXY,19.77925,17.5729,16.58547,16.11686,15.73807,0.021546,SPEC
NGC1294,1237661059574530102,50.4165799185563,41.3605740486041,3629,301,1,70,GALAXY,15.94115,13.993170000000001,12.93441,12.40119,12.03702,0.021965000000000002,
2MASXJ03191458+4108291,1237661083199275736,49.8107663401083,41.1414672837447,3634,301,5,107,GALAXY,16.863960000000002,14.769520000000002,13.809560000000001,13.28485,12.97863,0.026862,
2MASXJ03190715+4108330,1237661083199275747,49.7798434181445,41.1426340275538,3634,301,5,107,GALAXY,17.14604,15.795520000000002,15.09235,14.69085,14.372770000000001,0.026349,SPEC
IC0312,1237661059574202508,49.5350273429563,41.7543521558146,3629,301,1,65,GALAXY,16.50292,14.421220000000002,13.380629999999998,12.83557,12.36342,0.016605,
SDSSJ031808.40+414515.6,1237661059574202508,49.5350273429563,41.7543521558146,3629,301,1,65,GALAXY,16.50292,14.421220000000002,13.380629999999998,12.83557,12.36342,0.016498,SPEC
SDSSJ031808.40+414515.7,1237661059574202508,49.5350273429563,41.7543521558146,3629,301,1,65,GALAXY,16.50292,14.421220000000002,13.380629999999998,12.83557,12.36342,0.016422,SPEC
2MASXJ03180070+4117567,1237661083199144680,49.502817296740396,41.299094794563295,3634,301,5,105,GALAXY,18.74473,16.929000000000002,16.04459,15.6189,15.270010000000001,0.01404,SPEC
2MASXJ03215746+4133080,1237661055818794217,50.4895205204611,41.5521931394185,3628,301,2,106,GALAXY,18.39936,16.33034,15.33722,14.836789999999999,14.448889999999999,0.01939,
2MASSJ03181307+4148087,1237661059574137359,49.55457837676661,41.8025113829006,3629,301,1,64,GALAXY,19.73304,17.99345,17.2414,16.94586,16.56523,0.016127000000000002,SPEC
2MASXJ03180647+4147567,1237661059574138014,49.5269787347295,41.799176164502896,3629,301,1,64,GALAXY,18.900779999999997,16.86861,15.884479999999998,15.405529999999999,15.016129999999999,0.026657999999999998,SPEC
2MASXJ03173200+4124425,1237661083199143991,49.38327015303761,41.4116825064411,3634,301,5,105,GALAXY,17.89847,15.717670000000002,14.68251,14.276929999999998,13.937570000000001,0.01987,
2MASXJ03191203+4105211,1237661083199275626,49.8001129048394,41.0892324939727,3634,301,5,107,GALAXY,17.304289999999998,15.230229999999999,14.281279999999999,13.72355,13.305860000000001,0.017041999999999998,
2MASXJ03172790+4129165,1237661055281659994,49.36612568583139,41.488081281174296,3628,301,1,102,GALAXY,17.1757,15.12318,14.143120000000001,13.65345,13.28454,0.0156,
