ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0,Redshift,RedshiftFlag
2MASXJ03230446+4128047,1237661055818924980,50.7686625138616,41.4678934552379,3628,301,2,108,GALAXY,18.89412,17.074360000000002,16.19122,15.78885,15.46901,0.048587,SPEC
2MASSJ03165339+4112386,1237670458048119931,49.222440757013395,41.210757167307705,5817,301,3,244,GALAXY,19.89336,18.167720000000003,17.18636,16.761110000000002,16.462870000000002,0.129781,SPEC
2MASXJ03182179+4204372,1237661055818401198,49.5908758714167,42.0769970714468,3628,301,2,100,GALAXY,18.00872,16.94525,16.378510000000002,16.03177,15.846879999999999,0.081032,SPEC
2MASSJ03164587+4115008,1237670458048119435,49.191119575567896,41.250247624981796,5817,301,3,244,GALAXY,19.726770000000002,17.56524,16.52277,16.08739,15.779739999999999,0.130495,SPEC
WHLJ031645.9+411501,1237670458048119435,49.191119575567896,41.250247624981796,5817,301,3,244,GALAXY,19.726770000000002,17.56524,16.52277,16.08739,15.779739999999999,0.1316,SPEC
2MASXJ03171803+4105422,1237670458048119710,49.325184212029896,41.0951629448917,5817,301,3,244,GALAXY,19.4365,17.72064,16.70349,16.23106,15.932889999999999,0.1347,SPEC
2MASXJ03163860+4115585,1237661121850966603,49.1608997320476,41.2662421927005,3643,301,5,61,GALAXY,21.081979999999998,18.32541,16.99253,16.539479999999998,16.241,0.146172,SPEC
2MASXJ03222727+4156149,1237661056355599756,50.613639678571,41.9375401893676,3628,301,3,105,GALAXY,19.5164,17.55451,16.63254,16.23135,15.87929,0.093919,SPEC
2MASSJ03162035+4119561,1237661083199079335,49.0848060278675,41.332287509197705,3634,301,5,104,GALAXY,19.90079,17.88065,16.92962,16.56091,16.25528,0.118797,SPEC
2MASXJ03233016+4133565,1237661060111467492,50.87564851028421,41.5657981518931,3629,301,2,71,GALAXY,18.44637,16.424020000000002,15.58058,15.23562,14.88654,0.048957,SPEC
2MASXJ03212782+4052199,1237661083199537291,50.366149968117504,40.8722375517557,3634,301,5,111,GALAXY,16.807760000000002,15.69281,15.156039999999999,14.83276,14.657210000000001,0.052053999999999996,SPEC
2MASXJ03205256+4049185,1237661083199473010,50.2187891442065,40.821837753442296,3634,301,5,110,GALAXY,18.88764,17.03363,16.13513,15.773929999999998,15.46344,0.08529400000000001,SPEC
2MASXJ03163000+4153056,1237661059574006613,49.1251846566668,41.884852965511605,3629,301,1,62,GALAXY,20.29791,18.149160000000002,17.05436,16.63155,16.25452,0.133991,SPEC
2MASXJ03214584+4053310,1237661083199538263,50.44100551711411,40.891914198137705,3634,301,5,111,GALAXY,19.08546,17.26614,16.34478,15.962810000000001,15.66615,0.099039,SPEC
2MASXJ03233737+4121585,1237661055818990429,50.9058912314647,41.3664650558866,3628,301,2,109,GALAXY,19.318089999999998,17.59534,16.688270000000003,16.25745,15.900020000000001,0.048023,SPEC
2MASXJ03160735+4148487,1237661055281463492,49.0304654588595,41.813575057474296,3628,301,1,99,GALAXY,19.92977,17.68018,16.78837,16.39599,16.104020000000002,0.083346,SPEC
2MASXJ03234843+4137135,1237661060111466837,50.9519056392247,41.620439297655395,3629,301,2,71,GALAXY,19.805989999999998,17.631420000000002,16.50465,16.0774,15.74996,0.134142,SPEC
2MASSJ03194241+4045072,1237670959484240787,49.926730741811,40.7520138182203,5934,301,1,224,GALAXY,18.59149,17.33161,16.74703,16.40939,16.22051,0.059177,SPEC
2MASXJ03162544+4156127,1237661059574007036,49.1061764911897,41.9367922614383,3629,301,1,62,GALAXY,19.87161,17.766,16.69741,16.28635,15.929770000000001,0.113476,SPEC
2MASXJ03233837+4150195,1237661056355729567,50.909961133267096,41.8388566258744,3628,301,3,107,GALAXY,18.33934,24.29991,15.564810000000001,15.060970000000001,14.815620000000001,0.048673,SPEC
2MASXJ03153728+4139432,1237661122387706712,48.905188495652396,41.662063801384704,3643,301,6,59,GALAXY,20.2573,18.10691,16.997339999999998,16.591260000000002,16.255879999999998,0.146624,SPEC
WHLJ032157.4+421221,1237661060648076424,50.489105161739396,42.2059237248999,3629,301,3,67,GALAXY,19.235120000000002,17.08915,16.01944,15.58034,15.221670000000001,0.134,SPEC
2MASXJ03215738+4212220,1237661060648076424,50.489105161739396,42.2059237248999,3629,301,3,67,GALAXY,19.235120000000002,17.08915,16.01944,15.58034,15.221670000000001,0.13402,SPEC
2MASXJ03182645+4044517,1237661082662470657,49.610168468362204,40.7477335966387,3634,301,4,108,GALAXY,19.37885,17.434379999999997,16.3374,15.89357,15.536129999999998,0.140307,SPEC
2MASXJ03152698+4128074,1237661083198948546,48.8623519242614,41.4685722331813,3634,301,5,102,GALAXY,19.52252,17.86105,16.82366,16.342670000000002,15.99293,0.133898,SPEC
2MASXJ03201435+4041012,1237670456974377057,50.05980634202211,40.6837511752356,5817,301,1,244,GALAXY,17.16046,15.31815,14.57825,14.23649,14.10799,0.048043999999999996,SPEC
