No.	|	Object Name	|	RA	|	DEC	|	Type	|	Velocity	|	Redshift	|	Redshift Flag	|	Magnitude and Filter	|	Separation	|	References	|	Notes	|	Photometry Points	|	Positions	|	Redshift Points	|	Diameter Points	|	Associations
33	|	ABELL 0426:[CGW2003] 21	|	 49.80292 	|	  41.51047 	|	G	|	  8741	|	 0.029157 	|	    	|	21.6B	|	  6.639	|	2	|	0	|	2	|	0	|	1	|	0	|	0
34	|	WBL 097	|	 49.80207 	|	  41.51451 	|	GGroup	|	  5195	|	 0.017330 	|	    	|	     	|	  6.678	|	1	|	0	|	0	|	0	|	0	|	0	|	0
35	|	ABELL 0426:[CGW2003] 29	|	 49.82833 	|	  41.44233 	|	G	|	  5110	|	 0.017045 	|	    	|	20.9B	|	  6.897	|	3	|	0	|	2	|	0	|	1	|	0	|	0
36	|	2MASX J03192236+4125461	|	 49.84325 	|	  41.42942 	|	G	|	  5310	|	 0.017712 	|	    	|	16.0:	|	  6.906	|	13	|	1	|	23	|	5	|	3	|	2	|	0
37	|	ABELL 0426:[CGW2003] 20	|	 49.79333 	|	  41.49361 	|	G	|	  7325	|	 0.024434 	|	    	|	19.2B	|	  7.153	|	3	|	0	|	2	|	1	|	2	|	0	|	0
38	|	BGP 073	|	 50.11244 	|	  41.48303 	|	G	|	  5403	|	 0.018022 	|	    	|	16.4:	|	  7.471	|	4	|	1	|	0	|	0	|	0	|	0	|	0
39	|	2MASX J03193743+4137580	|	 49.90608 	|	  41.63283 	|	G	|	  8574	|	 0.028600 	|	    	|	15.8 	|	  7.539	|	16	|	0	|	25	|	6	|	6	|	3	|	0
40	|	2MASX J03202856+4129195	|	 50.11917 	|	  41.48881 	|	G	|	  5498	|	 0.018339 	|	    	|	14.55	|	  7.695	|	20	|	0	|	27	|	7	|	4	|	2	|	0
41	|	2MASX J03202936+4130525	|	 50.12233 	|	  41.51458 	|	G	|	  6621	|	 0.022085 	|	    	|	16.5:	|	  7.715	|	5	|	1	|	23	|	5	|	2	|	2	|	0
42	|	NGC 1281	|	 50.02546 	|	  41.63003 	|	G	|	  4300	|	 0.014343 	|	    	|	14.5 	|	  7.854	|	50	|	3	|	26	|	13	|	13	|	7	|	0
