No.	|	Object Name	|	RA	|	DEC	|	Type	|	Velocity	|	Redshift	|	Redshift Flag	|	Magnitude and Filter	|	Separation	|	References	|	Notes	|	Photometry Points	|	Positions	|	Redshift Points	|	Diameter Points	|	Associations
130	|	2MASX J03181953+4151218	|	 49.58133 	|	  41.85603 	|	G	|	  8493	|	 0.028330 	|	    	|	17.0 	|	 26.471	|	6	|	0	|	26	|	5	|	1	|	2	|	0
131	|	2MASX J03220908+4127029	|	 50.53783 	|	  41.45078 	|	G	|	  6056	|	 0.020200 	|	    	|	17.1 	|	 26.645	|	4	|	0	|	19	|	3	|	1	|	2	|	0
132	|	2MASX J03172788+4136465	|	 49.36629 	|	  41.61297 	|	G	|	  6135	|	 0.020464 	|	    	|	15.9:	|	 26.929	|	12	|	1	|	23	|	3	|	1	|	2	|	0
133	|	2MASX J03190609+4104571	|	 49.77537 	|	  41.08256 	|	G	|	  8391	|	 0.027989 	|	    	|	14.15	|	 26.934	|	19	|	0	|	15	|	1	|	2	|	2	|	0
134	|	NGC 1265	|	 49.56527 	|	  41.85775 	|	G	|	  7536	|	 0.025137 	|	    	|	13.22	|	 27.006	|	309	|	14	|	70	|	16	|	13	|	5	|	0
135	|	NGC 1260	|	 49.36351 	|	  41.40522 	|	G	|	  5753	|	 0.019190 	|	    	|	14.32	|	 27.164	|	124	|	4	|	36	|	11	|	7	|	7	|	0
136	|	2MASS J03215637+4117540	|	 50.48488 	|	  41.29842 	|	G	|	  4899	|	 0.016341 	|	SPEC	|	17.6 	|	 27.235	|	2	|	0	|	6	|	3	|	2	|	0	|	1
137	|	MCG +07-07-048	|	 49.37198 	|	  41.37581 	|	G	|	  6446	|	 0.021500 	|	    	|	17   	|	 27.274	|	18	|	1	|	15	|	2	|	2	|	3	|	0
138	|	2MASX J03194584+4158352	|	 49.94108 	|	  41.97644 	|	G	|	  4869	|	 0.016241 	|	    	|	16.0 	|	 27.888	|	7	|	0	|	22	|	4	|	2	|	2	|	0
139	|	2MASX J03173289+4117495	|	 49.38704 	|	  41.29703 	|	G	|	  5836	|	 0.019467 	|	    	|	16.5:	|	 28.448	|	6	|	1	|	19	|	3	|	1	|	2	|	0
140	|	2MASX J03221922+4126439	|	 50.58017 	|	  41.44547 	|	G	|	  6057	|	 0.020204 	|	    	|	17.1 	|	 28.575	|	5	|	0	|	22	|	4	|	1	|	2	|	0
141	|	2MASX J03171766+4125172	|	 49.32367 	|	  41.42147 	|	G	|	  6246	|	 0.020834 	|	SPEC	|	17.4 	|	 28.705	|	2	|	0	|	19	|	3	|	1	|	2	|	0
142	|	2MASX J03215149+4147500	|	 50.46454 	|	  41.79725 	|	G	|	  5847	|	 0.019503 	|	    	|	16.7 	|	 28.710	|	5	|	0	|	23	|	4	|	2	|	2	|	0
143	|	2MASS J03212427+4108088	|	 50.35129 	|	  41.13592 	|	G	|	  6171	|	 0.020584 	|	SPEC	|	18.3 	|	 28.883	|	2	|	0	|	6	|	2	|	1	|	0	|	0
144	|	2MASX J03190350+4158269	|	 49.76463 	|	  41.97417 	|	G	|	  4615	|	 0.015394 	|	    	|	16.04	|	 28.971	|	6	|	0	|	19	|	4	|	2	|	2	|	0
145	|	UGC 02656	|	 49.68121 	|	  41.07252 	|	G	|	  5487	|	 0.018303 	|	    	|	16.0 	|	 29.016	|	18	|	2	|	23	|	7	|	3	|	5	|	0
146	|	NGC 1259	|	 49.32200 	|	  41.38549 	|	G	|	  5816	|	 0.019400 	|	    	|	16   	|	 29.270	|	42	|	2	|	23	|	7	|	5	|	3	|	0
147	|	2MASX J03171358+4126082	|	 49.30667 	|	  41.43556 	|	G	|	  5081	|	 0.016948 	|	    	|	16.6:	|	 29.310	|	17	|	1	|	19	|	4	|	2	|	2	|	0
148	|	2MASX J03222447+4128469	|	 50.60191 	|	  41.47986 	|	G	|	  5535	|	 0.018463 	|	    	|	15.47	|	 29.329	|	9	|	0	|	23	|	4	|	2	|	2	|	0
149	|	2MASX J03220983+4143389	|	 50.54104 	|	  41.72744 	|	G	|	  4163	|	 0.013886 	|	SPEC	|	16.9 	|	 29.475	|	2	|	0	|	23	|	4	|	1	|	2	|	0
150	|	2MASX J03171317+4139032	|	 49.30496 	|	  41.65094 	|	G	|	  6176	|	 0.020600 	|	    	|	16.0:	|	 30.160	|	18	|	1	|	15	|	4	|	3	|	2	|	0
151	|	2MASX J03195440+4200526	|	 49.97662 	|	  42.01464 	|	G	|	  4675	|	 0.015594 	|	    	|	16.3 	|	 30.199	|	5	|	0	|	23	|	4	|	2	|	2	|	0
152	|	IC 0316 NED01	|	 50.33313 	|	  41.92894 	|	G	|	  2882	|	 0.009613 	|	    	|	16   	|	 30.333	|	9	|	0	|	8	|	5	|	3	|	0	|	0
153	|	2MASX J03184727+4158500	|	 49.69700 	|	  41.98058 	|	G	|	  5244	|	 0.017493 	|	SPEC	|	17.3 	|	 30.339	|	2	|	0	|	18	|	3	|	1	|	2	|	0
154	|	IC 0316	|	 50.33292 	|	  41.93056 	|	GPair	|	  2994	|	 0.009987 	|	    	|	15.0 	|	 30.408	|	11	|	1	|	5	|	4	|	3	|	2	|	0
155	|	IC 0316 NED02	|	 50.33292 	|	  41.93192 	|	G	|	  3015	|	 0.010057 	|	    	|	15.0 	|	 30.475	|	24	|	1	|	17	|	6	|	4	|	5	|	0
156	|	2MASX J03175803+4154021	|	 49.49175 	|	  41.90056 	|	G	|	  7812	|	 0.026058 	|	    	|	16.6 	|	 31.096	|	5	|	0	|	22	|	4	|	1	|	2	|	0
157	|	CGCG 540-079	|	 49.26512 	|	  41.63364 	|	G	|	  7236	|	 0.024137 	|	    	|	15.0 	|	 31.630	|	23	|	1	|	25	|	9	|	5	|	2	|	1
158	|	2MASX J03183928+4159489	|	 49.66375 	|	  41.99703 	|	G	|	  8088	|	 0.026979 	|	    	|	17.09	|	 31.826	|	5	|	0	|	22	|	4	|	2	|	2	|	0
159	|	2MASX J03170202+4137582	|	 49.25842 	|	  41.63286 	|	G	|	  3716	|	 0.012394 	|	SPEC	|	     	|	 31.912	|	1	|	0	|	14	|	3	|	2	|	2	|	0
160	|	2MASX J03183683+4101090	|	 49.65354 	|	  41.01919 	|	G	|	  4622	|	 0.015416 	|	SPEC	|	16.8 	|	 32.446	|	2	|	0	|	19	|	3	|	1	|	2	|	0
161	|	UGC 02626	|	 49.24892 	|	  41.35653 	|	G	|	  6358	|	 0.021208 	|	    	|	15.50	|	 32.911	|	28	|	1	|	29	|	8	|	3	|	6	|	0
162	|	2MASX J03222170+4114299	|	 50.59046 	|	  41.24164 	|	G	|	  3846	|	 0.012830 	|	SPEC	|	16.5 	|	 33.050	|	2	|	0	|	18	|	3	|	1	|	2	|	0
163	|	LCSB S0541P	|	 50.33917 	|	  41.02450 	|	G	|	  5453	|	 0.018190 	|	SPEC	|	17.6 	|	 34.080	|	3	|	0	|	15	|	3	|	2	|	2	|	0
164	|	2MASX J03202564+4204137	|	 50.10688 	|	  42.07042 	|	G	|	  4691	|	 0.015649 	|	SPEC	|	17.7 	|	 34.244	|	2	|	0	|	15	|	2	|	1	|	2	|	0
165	|	UGC 02639	|	 49.46012 	|	  41.96758 	|	G	|	  4033	|	 0.013453 	|	    	|	15.3 	|	 35.079	|	24	|	2	|	27	|	8	|	3	|	5	|	0
166	|	2MASX J03172721+4155002	|	 49.36342 	|	  41.91667 	|	G	|	  5263	|	 0.017556 	|	SPEC	|	16.8 	|	 35.808	|	2	|	0	|	19	|	4	|	2	|	2	|	0
167	|	2MASX J03221984+4108529	|	 50.58279 	|	  41.14806 	|	G	|	  4961	|	 0.016548 	|	SPEC	|	17.3 	|	 35.877	|	2	|	0	|	15	|	3	|	2	|	2	|	0
168	|	2MASX J03210436+4057169	|	 50.26829 	|	  40.95475 	|	G	|	  4471	|	 0.014914 	|	SPEC	|	17.0 	|	 36.360	|	2	|	0	|	15	|	2	|	1	|	2	|	0
169	|	UGC 02672	|	 50.02146 	|	  40.90617 	|	G	|	  4297	|	 0.014333 	|	    	|	15.4 	|	 36.472	|	12	|	0	|	10	|	4	|	3	|	3	|	0
170	|	IC 0310	|	 49.17907 	|	  41.32497 	|	G	|	  5678	|	 0.018940 	|	    	|	13.89	|	 36.480	|	167	|	5	|	42	|	16	|	15	|	7	|	0
171	|	2MASX J03165120+4115212	|	 49.21337 	|	  41.25589 	|	G	|	  1665	|	 0.005554 	|	    	|	16.8 	|	 36.568	|	3	|	0	|	19	|	3	|	2	|	2	|	0
172	|	2MASX J03220261+4158250	|	 50.51092 	|	  41.97356 	|	G	|	  5805	|	 0.019363 	|	    	|	16.2 	|	 37.377	|	7	|	0	|	15	|	2	|	1	|	2	|	0
173	|	UGC 02621	|	 49.10892 	|	  41.53042 	|	G	|	  4747	|	 0.015834 	|	    	|	14.6 	|	 37.830	|	31	|	0	|	21	|	6	|	4	|	8	|	0
174	|	CGCG 540-074	|	 49.11467 	|	  41.62708 	|	G	|	  4969	|	 0.016575 	|	    	|	15.7 	|	 38.160	|	15	|	0	|	16	|	4	|	3	|	2	|	0
175	|	2MASX J03224602+4149587	|	 50.69183 	|	  41.83306 	|	G	|	  4725	|	 0.015762 	|	SPEC	|	17.1 	|	 38.408	|	2	|	0	|	15	|	2	|	1	|	2	|	0
176	|	2MFGC 02775	|	 50.72075 	|	  41.22992 	|	G	|	  6998	|	 0.023343 	|	    	|	16.5 	|	 38.576	|	9	|	0	|	15	|	3	|	3	|	2	|	0
177	|	2MASX J03214287+4202509	|	 50.42850 	|	  42.04772 	|	G	|	  5460	|	 0.018213 	|	SPEC	|	18.0 	|	 38.619	|	2	|	0	|	15	|	2	|	1	|	2	|	0
178	|	2MASX J03163712+4147215	|	 49.15471 	|	  41.78931 	|	G	|	  5360	|	 0.017880 	|	SPEC	|	17.5 	|	 39.381	|	2	|	0	|	15	|	3	|	2	|	2	|	0
179	|	2MASX J03210025+4208327	|	 50.25095 	|	  42.14224 	|	G	|	  5509	|	 0.018376 	|	    	|	15.99	|	 40.144	|	7	|	0	|	15	|	4	|	3	|	2	|	0
180	|	SDSS J032051.44+420956.3	|	 50.21434 	|	  42.16566 	|	G	|	  6918	|	 0.023077 	|	SPEC	|	     	|	 40.970	|	0	|	0	|	0	|	1	|	1	|	0	|	0
181	|	2MASX J03222930+4103009	|	 50.62229 	|	  41.05031 	|	G	|	  5174	|	 0.017259 	|	    	|	16.0:	|	 41.029	|	6	|	0	|	15	|	2	|	2	|	2	|	0
182	|	UGC 02642	|	 49.47983 	|	  40.92664 	|	G	|	  6155	|	 0.020531 	|	    	|	16.5 	|	 41.034	|	9	|	2	|	15	|	4	|	2	|	3	|	0
183	|	2MASX J03214217+4205549	|	 50.42575 	|	  42.09864 	|	G	|	  5536	|	 0.018466 	|	SPEC	|	17.1 	|	 41.130	|	2	|	0	|	15	|	2	|	1	|	2	|	0
184	|	2MASX J03232697+4124235	|	 50.86238 	|	  41.40647 	|	G	|	  4627	|	 0.015434 	|	    	|	16.2 	|	 41.479	|	4	|	0	|	15	|	1	|	1	|	2	|	0
185	|	2MASX J03224672+4156285	|	 50.69463 	|	  41.94122 	|	G	|	  6173	|	 0.020590 	|	SPEC	|	17.9 	|	 42.119	|	2	|	0	|	15	|	2	|	1	|	2	|	0
186	|	LCSB S0531P	|	 49.70583 	|	  40.82761 	|	G	|	  5930	|	 0.019779 	|	SPEC	|	16.9 	|	 42.509	|	3	|	0	|	15	|	2	|	1	|	2	|	0
187	|	2MASX J03162705+4110487	|	 49.11275 	|	  41.18019 	|	G	|	  4490	|	 0.014977 	|	SPEC	|	17.2 	|	 42.663	|	3	|	0	|	15	|	2	|	1	|	2	|	0
188	|	2MASX J03175285+4053504	|	 49.47021 	|	  40.89733 	|	G	|	  6297	|	 0.021005 	|	SPEC	|	17.8 	|	 42.769	|	3	|	0	|	15	|	2	|	1	|	2	|	0
189	|	IC 0308	|	 49.06596 	|	  41.18075 	|	G	|	  6292	|	 0.020988 	|	    	|	15.4 	|	 44.524	|	19	|	2	|	19	|	3	|	2	|	6	|	0
190	|	2MASX J03225058+4101397	|	 50.71083 	|	  41.02778 	|	G	|	  6087	|	 0.020303 	|	SPEC	|	18.1 	|	 44.924	|	2	|	0	|	15	|	3	|	2	|	2	|	0
191	|	UGC 02686	|	 50.25554 	|	  40.79775 	|	G	|	  6090	|	 0.020314 	|	    	|	16.0 	|	 44.996	|	15	|	0	|	15	|	3	|	1	|	5	|	0
192	|	2MASX J03155331+4119242	|	 48.97212 	|	  41.32333 	|	G	|	  5962	|	 0.019887 	|	SPEC	|	17.8 	|	 45.456	|	2	|	0	|	15	|	2	|	1	|	2	|	0
193	|	2MASX J03163444+4102506	|	 49.14354 	|	  41.04742 	|	G	|	  3844	|	 0.012822 	|	    	|	16.0 	|	 45.831	|	9	|	1	|	15	|	2	|	1	|	2	|	0
194	|	2MASX J03174508+4210522	|	 49.43750 	|	  42.18108 	|	G	|	  6218	|	 0.020741 	|	    	|	15.8 	|	 46.251	|	5	|	0	|	15	|	1	|	1	|	2	|	0
195	|	UGC 02664	|	 49.87521 	|	  40.74219 	|	G	|	  6067	|	 0.020237 	|	    	|	18.  	|	 46.296	|	8	|	0	|	2	|	2	|	1	|	3	|	0
196	|	UGC 02698	|	 50.51200 	|	  40.86389 	|	G	|	  6421	|	 0.021418 	|	    	|	13.9 	|	 46.402	|	31	|	2	|	20	|	14	|	14	|	6	|	0
197	|	2MASX J03235754+4131183	|	 50.98989 	|	  41.52187 	|	G	|	  5169	|	 0.017243 	|	SPEC	|	17.23	|	 46.691	|	4	|	0	|	15	|	3	|	1	|	2	|	0
198	|	2MASX J03155773+4112572	|	 48.99054 	|	  41.21592 	|	G	|	  5711	|	 0.019050 	|	    	|	16.3 	|	 46.736	|	5	|	0	|	15	|	1	|	0	|	2	|	0
199	|	2MASS J03220520+4210089	|	 50.52163 	|	  42.16942 	|	G	|	  5286	|	 0.017633 	|	SPEC	|	     	|	 46.997	|	0	|	0	|	4	|	2	|	1	|	0	|	0
200	|	2MASX J03235662+4138173	|	 50.98592 	|	  41.63822 	|	G	|	  5077	|	 0.016936 	|	SPEC	|	17.4 	|	 47.083	|	2	|	0	|	21	|	4	|	1	|	2	|	0
201	|	2MASX J03183055+4215321	|	 49.62725 	|	  42.25883 	|	G	|	  9196	|	 0.030673 	|	SPEC	|	18.4 	|	 47.098	|	2	|	0	|	15	|	2	|	1	|	2	|	0
202	|	UGC 02696	|	 50.52137 	|	  42.17203 	|	G	|	  5453	|	 0.018189 	|	    	|	15.5 	|	 47.122	|	27	|	2	|	20	|	6	|	3	|	5	|	0
203	|	2MASS J03220508+4210263	|	 50.52117 	|	  42.17436 	|	G	|	  5539	|	 0.018475 	|	SPEC	|	     	|	 47.235	|	0	|	0	|	8	|	3	|	1	|	0	|	0
204	|	2MASX J03235425+4141504	|	 50.97604 	|	  41.69742 	|	G	|	  6438	|	 0.021475 	|	SPEC	|	17.1 	|	 47.333	|	2	|	0	|	15	|	2	|	1	|	2	|	0
205	|	2MASX J03235094+4116575	|	 50.96229 	|	  41.28269 	|	G	|	  5083	|	 0.016954 	|	SPEC	|	16.8 	|	 47.559	|	2	|	0	|	15	|	2	|	1	|	2	|	0
206	|	2MASX J03163390+4201325	|	 49.14133 	|	  42.02572 	|	G	|	  4078	|	 0.013602 	|	SPEC	|	16.0 	|	 47.570	|	2	|	0	|	14	|	3	|	2	|	2	|	0
207	|	2MASS J03161106+4106067	|	 49.04600 	|	  41.10181 	|	G	|	  8713	|	 0.029063 	|	SPEC	|	18.6 	|	 47.617	|	2	|	0	|	6	|	2	|	1	|	0	|	0
208	|	2MASX J03170749+4052522	|	 49.28117 	|	  40.88122 	|	G	|	  6597	|	 0.022005 	|	    	|	16.3 	|	 48.421	|	4	|	0	|	15	|	2	|	2	|	2	|	0
209	|	UGC 02616	|	 48.96683 	|	  41.85736 	|	G	|	  4687	|	 0.015634 	|	    	|	16.5 	|	 48.719	|	12	|	0	|	15	|	3	|	2	|	5	|	0
210	|	CGCG 540-090	|	 49.68583 	|	  42.30111 	|	GTrpl	|	  5882	|	 0.019620 	|	    	|	     	|	 48.819	|	9	|	0	|	1	|	3	|	1	|	1	|	1
211	|	UGC 02654	|	 49.67958 	|	  42.30058 	|	G	|	  5793	|	 0.019323 	|	    	|	14.2 	|	 48.857	|	28	|	2	|	18	|	3	|	4	|	5	|	1
212	|	2MASX J03224207+4054078	|	 50.67537 	|	  40.90233 	|	G	|	  6017	|	 0.020069 	|	SPEC	|	17.23	|	 49.060	|	3	|	0	|	15	|	4	|	2	|	2	|	0
