Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag
NGC 0383                      ,16.85399,32.41256,G      ,5098,0.017005,               
 VV 193                        ,16.85167,32.40833, GPair  ,4777,0.015934,               
 NGC 0382                      ,16.84946,32.40386, G      ,5229,0.017442,               
 SDSS J010723.84+322411.8      ,16.84935,32.40329, G      ,5166,0.017233, SPEC          
 Pisces Cloud                  ,16.86186,32.38854, GGroup ,4845,0.016161,               
 2MASX J01071798+3225281       ,16.825,32.42447, G      ,5661,0.018883,               
 NGC 0387                      ,16.88775,32.39111, G      ,4707,0.015701,               
 IV Zw 038                     ,16.86792,32.46194, GGroup ,5096,0.017,               
 3C 031 GROUP                  ,16.8125,32.45417, GClstr ,5120,0.017078,               
 NGC 0386                      ,16.88039,32.36199, G      ,5556,0.018533,               
 RSCG 05                       ,16.84884,32.35661, GGroup ,5096,0.017,               
 SDSS J010714.97+322204.7      ,16.81238,32.36804, IrS    ,146848,0.489833, SPEC          
 2MASX J01070798+3223335       ,16.78307,32.39294, G      ,46147,0.153931, SPEC          
 SDSS J010706.70+322257.6      ,16.77795,32.38268, G      ,110296,0.367908, SPEC          
 NGC 0380                      ,16.8233,32.48292, G      ,4426,0.014764,               
 UGC 00679                     ,16.76491,32.38953, G      ,5096,0.016998,               
 SDSS J010716.14+322014.7      ,16.81727,32.33742, *      ,-233,-0.000778, SPEC          
 2MASX J01071026+3220485       ,16.79283,32.34681, G      ,4245,0.01416,               
 NGC 0375                      ,16.77466,32.34817, G      ,5855,0.01953,               
 NGC 0385                      ,16.86352,32.31953, G      ,4975,0.016595,               
 NGC 0379                      ,16.81537,32.52036, G      ,5578,0.018606,               
 SDSS J010700.04+322915.4      ,16.74979,32.48789, UvS    ,-44,-0.000148, SPEC          
 SDSS J010703.19+321930.2      ,16.76331,32.32508, G      ,110737,0.36938, SPEC          
 NGC 0384                      ,16.8546,32.29245, G      ,4233,0.01412,               
 SRGb 090                      ,16.75917,32.32269, GGroup ,5150,0.017179,               
 SDSS J010746.28+321840.4      ,16.94287,32.31124, *      ,-11,-0.000037, SPEC          
 WHL J010759.6+322216          ,16.9985,32.37122, GClstr ,118298,0.3946, PHOT          
 NGC 0388                      ,16.94644,32.30996, G      ,5444,0.018159,               
 SDSS J010759.25+322116.5      ,16.99691,32.3546, G      ,144644,0.48248, SPEC          
 RM J010802.2+322157.0         ,17.00896,32.36584, GClstr ,120428,0.401705, PHOT          
 SDSS J010710.42+323232.8      ,16.79337,32.54251, IrS    ,146133,0.487446, SPEC          
 NGC 0373                      ,16.74254,32.30847, G      ,5502,0.018353,               
 2MASX J01064452+3225074       ,16.68554,32.41867, G      ,6150,0.020514,               
 SDSS J010804.43+322813.1      ,17.01847,32.47033, G      ,173688,0.579362, SPEC          
 WHL J010657.9+323156          ,16.74109,32.53215, GClstr ,146359,0.4882, SPEC          
 SDSS J010646.23+322920.0      ,16.69264,32.4889, G      ,103293,0.344547, SPEC          
 SDSS J010657.20+323235.8      ,16.73834,32.5433, G      ,146341,0.48814, SPEC          
 2MASX J01081297+3227128       ,17.054,32.45361, G      ,4754,0.015858,               
 LCSB S0169O                   ,16.96667,32.25611, G      ,5454,0.018193,               
 SDSS J010724.07+323545.5      ,16.85032,32.59598, G      ,140726,0.469411, SPEC          
 SDSS J010711.15+323536.1      ,16.79646,32.59336, G      ,138560,0.462185, SPEC          
 SDSS J010637.71+323003.7      ,16.65715,32.50104, *      ,-317,-0.001057, SPEC          
 SDSS J010640.30+321831.4      ,16.66795,32.30875, G      ,173168,0.577625, SPEC          
 SDSS J010643.29+323159.5      ,16.68039,32.53321, G      ,138301,0.461321, SPEC          
 SDSS J010640.41+323205.2      ,16.66838,32.5348, QSO    ,214692,0.716134, SPEC          
 WHL J010640.4+323205          ,16.66838,32.5348, GClstr ,138294,0.4613, SPEC          
 RM J010640.4+323205.3         ,16.66838,32.5348, GClstr ,144280,0.481265, PHOT          
 2MASX J01081590+3229567       ,17.06625,32.49908, G      ,5508,0.018373,               
 2MASX J01065374+3234434       ,16.72404,32.57864, G      ,5558,0.018539,               
 SDSS J010803.11+323343.6      ,17.01406,32.56165, UvS    ,110258,0.367782, SPEC          
 SDSS J010642.21+323316.1      ,16.67591,32.55448, G      ,146895,0.48999, SPEC          
 GALEXMSC J010747.67+321315.7  ,16.94925,32.22061, G      ,4918,0.016405,               
 SDSS J010806.60+323340.1      ,17.02717,32.5612, UvS    ,775409,2.586487, SPEC          
 SDSS J010634.50+323132.4      ,16.64366,32.52582, UvS    ,-177,-0.000592, SPEC          
 2MASX J01065749+3213214       ,16.7396,32.22263, G      ,34361,0.114617, SPEC          
 SDSS J010657.10+323613.0      ,16.73794,32.60364, *      ,25,0.000085, SPEC          
 IV Zw 038 NOTES14             ,17.10833,32.43125, G      ,6195,0.020664,               
 IV Zw 038 NOTES01             ,16.624,32.50778, G      ,46118,0.153832, SPEC          
 SDSS J010826.63+322435.5      ,17.11089,32.41008, UvS    ,661749,2.207356, SPEC          
 SDSS J010823.85+322840.2      ,17.09938,32.47785, G      ,99630,0.332329, SPEC          
 SDSS J010635.79+321652.6      ,16.64914,32.2813, G      ,154982,0.516965, SPEC          
 IV Zw 038 NOTES08             ,16.81546,32.19442, G      ,5966,0.0199,               
 SDSS J010640.84+323429.9      ,16.67018,32.575, QSO    ,959718,3.201274, SPEC          
 SDSS J010622.24+322758.0      ,16.5927,32.46614, QSO    ,1036357,3.456913, SPEC          
 2MASX J01082662+3229109       ,17.111,32.48633, G      ,33395,0.111395, SPEC          
 IV Zw 038 NOTES03             ,16.73708,32.6225, GPair  ,19799,0.066042,               
 SDSS J010800.55+323707.6      ,17.00231,32.6188, G      ,196626,0.655874, SPEC          
 SDSS J010732.31+323909.0      ,16.88466,32.65252, G      ,156075,0.52061, SPEC          
 2MASXi J0108226+323258        ,17.09437,32.54969, G      ,4723,0.015754,               
 SDSS J010829.43+321910.6      ,17.12255,32.31964, UvS    ,162518,0.542102, SPEC          
 SDSS J010632.20+323424.0      ,16.63418,32.57334, *      ,-4,-0.000015, SPEC          
 RM J010718.6+321003.8         ,16.82756,32.16771, GClstr ,111579,0.372186, PHOT          
 IV Zw 038 NOTES07             ,16.798,32.17044, G      ,4696,0.015664,               
 SDSS J010618.06+322002.6      ,16.57526,32.33407, QSO    ,347306,1.158489, SPEC          
 2MASS J01081074+3236146       ,17.04489,32.60416, G      ,118968,0.396833, SPEC          
 SDSS J010836.08+322543.9      ,17.15035,32.42886, G      ,209309,0.69818, SPEC          
 SDSS J010836.29+322434.8      ,17.15122,32.40969, G      ,172559,0.575596, SPEC          
 2MASX J01062076+3231488       ,16.58654,32.53019, G      ,32768,0.109302, SPEC          
 SDSS J010613.21+322237.3      ,16.55526,32.37758, UvS    ,301753,1.006539, SPEC          
 SDSS J010623.97+323302.4      ,16.59991,32.55067, G      ,138446,0.461806, SPEC          
 SDSS J010715.60+320932.7      ,16.81504,32.15911, G      ,114423,0.381673, SPEC          
 [HLX2013] J010619.74+321751.7 ,16.58229,32.2977, QSO    ,627765,2.094,               
 SDSS J010727.82+324023.3      ,16.86596,32.67316, G      ,110542,0.36873, SPEC          
 2MASS J01083751+3220582       ,17.15634,32.34946, *      ,-33,-0.00011, SPEC          
 LCSB S0171P                   ,17.07829,32.22656, G      ,5315,0.017729,               
 SDSS J010637.89+323732.1      ,16.65837,32.62498, UvS    ,540458,1.802773, SPEC          
 400d J0106+3209               ,16.74583,32.15833, GClstr ,33577,0.112,               
 2MASX J01065891+3209285       ,16.7453,32.15736, G      ,33463,0.11162,               
 SDSS J010639.19+321139.1      ,16.6633,32.19421, G      ,147424,0.491753, SPEC          
 SDSS J010840.33+322824.4      ,17.16807,32.47345, G      ,172970,0.576967, SPEC          
 SDSS J010840.74+322809.3      ,17.16948,32.46944, UvS    ,219591,0.732478, SPEC          
 [HB89] 0104+318               ,16.74482,32.155, QSO    ,607679,2.027,               
 [HB89] 0104+318 ABS01         ,16.74482,32.155, AbLS   ,526016,1.7546,               
 SDSS J010740.22+320745.4      ,16.9176,32.12928, G      ,68415,0.228207, SPEC          
 SDSS J010622.89+323605.3      ,16.59541,32.60149, G      ,157325,0.524778, SPEC          
 2MASS J01071777+3207286       ,16.82398,32.12462, G      ,110584,0.36887, SPEC          
 WHL J010717.8+320729          ,16.82398,32.12462, GClstr ,112512,0.3753, SPEC          
