Object Name,RA,DEC
SDSS J165114.20+322445.3,252.8092,32.41259
SDSS J165112.44+322447.2,252.80187,32.41312
SDSS J165113.27+322508.1,252.80532,32.41892
SDSS J165115.45+322508.7,252.81438,32.41909
SDSS J165115.08+322511.3,252.81285,32.41981
SDSS J165112.19+322436.4,252.80079,32.41013
SDSS J165115.72+322519.1,252.81554,32.42198
NVSS J165117+322434,252.82188,32.40947
SDSS J165113.75+322524.4,252.80733,32.42347
SDSS J165113.40+322406.8,252.80586,32.40191
SDSS J165112.85+322520.5,252.80355,32.42238
SDSS J165112.62+322521.0,252.80259,32.4225
SDSS J165117.41+322426.1,252.82258,32.40727
SDSS J165110.89+322439.6,252.79541,32.41102
SDSS J165110.85+322447.9,252.79522,32.41332
SDSS J165113.38+322358.4,252.80576,32.39957
SDSS J165117.40+322415.2,252.82253,32.40422
SDSS J165118.44+322453.7,252.82686,32.41492
SDSS J165112.08+322401.4,252.80037,32.4004
SDSS J165110.31+322456.7,252.79298,32.41576
2MASS J16511838+3224300,252.82669,32.40844
SDSS J165118.27+322512.0,252.82615,32.42002
SDSS J165110.00+322432.3,252.79168,32.40898
SDSS J165118.86+322438.7,252.8286,32.41077
SDSS J165109.89+322453.4,252.79122,32.41485
SDSS J165118.86+322429.7,252.82858,32.40827
SDSS J165119.09+322450.3,252.82955,32.414
