ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
2MASSJ03165339+4112386,1.23767E+18,49.22244075,41.21075717,5817,301,3,244,GALAXY,20.65476,18.72735,17.60284,17.07983,16.68758
2MASXJ03182179+4204372,1.23766E+18,49.59087586,42.07699708,3628,301,2,100,GALAXY,18.80571,17.53599,16.8116,16.37305,16.10436
2MASSJ03164587+4115008,1.23767E+18,49.19111957,41.25024762,5817,301,3,244,GALAXY,20.50406,18.13276,16.94715,16.41236,16.00154
WHLJ031645.9+411501,1.23767E+18,49.19111957,41.25024762,5817,301,3,244,GALAXY,20.50406,18.13276,16.94715,16.41236,16.00154
2MASXJ03171803+4105422,1.23767E+18,49.32518421,41.09516294,5817,301,3,244,GALAXY,20.30471,18.35835,17.17741,16.59241,16.19025
2MASXJ03163860+4115585,1.23766E+18,49.16089972,41.26624219,3643,301,5,61,GALAXY,21.86835,18.90991,17.41565,16.86615,16.46893
2MASXJ03222727+4156149,1.23766E+18,50.61363968,41.93754019,3628,301,3,105,GALAXY,20.43453,18.23907,17.13341,16.61488,16.17072
2MASSJ03162035+4119561,1.23766E+18,49.08480603,41.33228751,3634,301,5,104,GALAXY,20.72964,18.49723,17.37789,16.90572,16.50711
2MASXJ03233016+4133565,1.23766E+18,50.87564849,41.56579815,3629,301,2,71,GALAXY,19.43198,17.15491,16.11514,15.65043,15.19212
WHLJ031607.6+412113,1.23766E+18,49.03177532,41.35369384,3634,301,5,103,GALAXY,21.27396,18.95513,17.49461,16.93282,16.53234
2MASXJ03212782+4052199,1.23766E+18,50.36614997,40.87223755,3634,301,5,111,GALAXY,17.55252,16.24718,15.5615,15.14455,14.88628
2MASXJ03205256+4049185,1.23766E+18,50.21878914,40.82183776,3634,301,5,110,GALAXY,19.65267,17.60466,16.5511,16.09472,15.69616
2MASXJ03163000+4153056,1.23766E+18,49.12518467,41.88485296,3629,301,1,62,GALAXY,21.08431,18.73498,17.48358,16.95494,16.49187
2MASXJ03214584+4053310,1.23766E+18,50.44100552,40.8919142,3634,301,5,111,GALAXY,19.83009,17.81455,16.74638,16.27131,15.88751
