ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
NGC1268,1237661055281725866,49.6881724305479,41.488763964252,3628,301,1,103,GALAXY,16.76672,14.88088,14.20959,13.80411,13.56566
LCSBS0532P,1237661059574268293,49.7414833652148,41.6350645495977,3629,301,1,66,GALAXY,18.54792,16.51011,15.53457,15.06028,14.69869
2MASXJ03204218+4124145,1237661059574464562,50.1757659779366,41.4039750855401,3629,301,1,69,GALAXY,17.71486,15.74996,14.67404,14.16866,13.92732
NGC1267,1237661055281725840,49.6875347353911,41.4678465035982,3628,301,1,103,GALAXY,16.4017,14.41748,15.21729,15.24581,13.46126
2MASXJ03184738+4125421,1237661055281726251,49.6974775004555,41.4283735909945,3628,301,1,103,GALAXY,17.84461,15.84881,14.90355,14.39653,14.04654
2MASXJ03195296+4118082,1237661055281856815,49.97079148252,41.3024649801668,3628,301,1,105,GALAXY,16.89135,14.71624,13.78729,13.2383,12.8453
2MASXJ03205074+4136015,1237661055818727654,50.2112693970303,41.6004244574191,3628,301,2,105,GALAXY,16.96005,14.81591,13.80147,13.27543,12.89939
2MASXJ03185112+4123321,1237661055281726775,49.7128793782931,41.3923537508079,3628,301,1,103,GALAXY,18.52813,16.70724,15.78017,15.32324,14.98867
2MASXJ03205776+4130229,1237661059574399996,50.2408881111513,41.5063450312193,3629,301,1,68,GALAXY,17.40995,15.20348,14.09797,13.55667,13.15276
2MASXJ03205658+4126205,1237661059574464709,50.2357250698434,41.4388504396474,3629,301,1,69,GALAXY,20.06581,18.47599,17.22156,16.74562,16.55418
CGCG540-089,1237661055281725859,49.6497321108168,41.4772107973264,3628,301,1,103,GALAXY,17.33968,15.19838,14.13613,13.62782,13.45416
2MASXJ03210041+4133449,1237661055818727967,50.2517165772434,41.5624636826162,3628,301,2,105,GALAXY,17.31795,15.17758,14.1674,13.64442,13.2114
2MASXJ03194454+4116411,1237661055281856814,49.9356066702471,41.2780792749815,3628,301,1,105,GALAXY,17.24356,15.04309,14.06005,13.52289,13.26691
2MASXJ03204928+4122145,1237661059574464751,50.205482070789,41.3706843352631,3629,301,1,69,GALAXY,17.0914,15.01419,13.95345,13.42124,13.08728
2MASXJ03201328+4117122,1237661055281857617,50.0552790371618,41.2868743263484,3628,301,1,105,GALAXY,18.09833,16.40142,15.6514,15.2905,15.03911
2MASXJ03210424+4133199,1237661055818727970,50.2676412089476,41.5556280734172,3628,301,2,105,GALAXY,18.04777,15.99267,15.02012,14.5306,14.14088
2MASXJ03210142+4126039,1237661059574465600,50.2558101944956,41.4344626657157,3629,301,1,69,GALAXY,19.03753,17.05544,16.11115,15.6385,15.25828
2MASXJ03194676+4116132,1237661055281856829,49.9449358441035,41.270382598862,3628,301,1,105,GALAXY,20.37255,16.1908,15.31449,14.79182,14.57438
2MASXJ03185824+4142091,1237661059574268044,49.7427700514838,41.7023783449143,3629,301,1,66,GALAXY,17.08512,15.02886,14.06319,13.58308,13.18203
