ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0
WHLJ031721.9+410824,1237670458048120170,49.3411431714873,41.1400445810044,5817,301,3,244,GALAXY,20.67023,19.67517,18.537,18.04963,17.7753
2MASXJ03170622+4149382,1237661059574071869,49.2760306567898,41.8273941681693,3629,301,1,63,GALAXY,20.47083,18.40912,17.13765,16.71723,16.36805
2MASXJ03171327+4109562,1237670458048119916,49.3052263650175,41.1654926563708,5817,301,3,244,GALAXY,19.98877,18.13955,17.09001,16.67049,16.31721
2MASSJ03163671+4135440,1237661055281530187,49.1530003232551,41.5955682115008,3628,301,1,100,GALAXY,20.00363,18.01885,16.92047,16.48651,16.15022
2MASXJ03225995+4137567,1237661060111402196,50.7499979631045,41.6323363152673,3629,301,2,70,GALAXY,19.46855,17.51738,16.45595,16.06039,15.68847
2MASXJ03230446+4128047,1237661055818924980,50.7686625138616,41.4678934552379,3628,301,2,108,GALAXY,18.89412,17.07436,16.19122,15.78885,15.46901
WHLJ032231.3+415202,1237661056355600075,50.6305785412607,41.8671546835176,3628,301,3,105,GALAXY,21.33401,19.40112,18.14016,17.73116,17.47459
2MASSJ03165339+4112386,1237670458048119931,49.2224407570134,41.2107571673077,5817,301,3,244,GALAXY,19.89336,18.16772,17.18636,16.76111,16.46287
2MASXJ03182179+4204372,1237661055818401198,49.5908758714167,42.0769970714468,3628,301,2,100,GALAXY,18.00872,16.94525,16.37851,16.03177,15.84688
2MASSJ03164587+4115008,1237670458048119435,49.1911195755679,41.2502476249818,5817,301,3,244,GALAXY,19.72677,17.56524,16.52277,16.08739,15.77974
WHLJ031645.9+411501,1237670458048119435,49.1911195755679,41.2502476249818,5817,301,3,244,GALAXY,19.72677,17.56524,16.52277,16.08739,15.77974
2MASXJ03171803+4105422,1237670458048119710,49.3251842120299,41.0951629448917,5817,301,3,244,GALAXY,19.4365,17.72064,16.70349,16.23106,15.93289
2MASXJ03163860+4115585,1237661121850966603,49.1608997320476,41.2662421927005,3643,301,5,61,GALAXY,21.08198,18.32541,16.99253,16.53948,16.241
2MASXJ03222727+4156149,1237661056355599756,50.613639678571,41.9375401893676,3628,301,3,105,GALAXY,19.5164,17.55451,16.63254,16.23135,15.87929
2MASSJ03162035+4119561,1237661083199079335,49.0848060278675,41.3322875091977,3634,301,5,104,GALAXY,19.90079,17.88065,16.92962,16.56091,16.25528
2MASXJ03233016+4133565,1237661060111467492,50.8756485102842,41.5657981518931,3629,301,2,71,GALAXY,18.44637,16.42402,15.58058,15.23562,14.88654
WHLJ031607.6+412113,1237661083199013697,49.0317753236151,41.3536938405817,3634,301,5,103,GALAXY,20.45372,18.34407,17.05028,16.59122,16.28323
2MASXJ03212782+4052199,1237661083199537291,50.3661499681175,40.8722375517557,3634,301,5,111,GALAXY,16.80776,15.69281,15.15604,14.83276,14.65721
