objID ra dec
1237661055282053818 50.5281378006139 41.0276144559558
1237661083199144029 49.3952815822084 41.3842487691788
1237661083199341183 49.924053481389706 41.024655110943705
1237661083199275237 49.697711699383404 41.151018917061
1237661060111336113 50.650556256590995 41.694705311764295
1237661059574465436 50.39932554947929 41.3996826433238
1237661060111074035 49.990292946352604 42.0527525512571
1237661055281987723 50.2936651404562 41.2002883451211
1237661055818531541 49.8639605468962 41.888996797469204
1237670960021111222 49.431703584848606 40.96288183728689
1237661083199537242 50.3390569631287 40.844157372987105
1237661055281922594 50.1149349753897 41.089293887133294
1237661055818335084 49.3898566716397 42.147859277639
1237661059574203105 49.6944697083621 41.7721966298923
1237661059574595954 50.6094554585851 41.20341943710729
1237661083199340619 49.880439273211294 41.160591036366206
1237661083199472111 50.303826144683505 40.943836142245296
1237661083199537878 50.4419213324036 40.7602446870635
1237661059574399701 50.0541384209877 41.3844435857031
1237661055281660351 49.496040196025604 41.5146160453943
1237661059574661313 50.6343324203825 41.09214295374979
1237661060111206368 50.258441419369106 41.953899579164
1237661060111206911 50.257416682877206 41.957044702731295
1237661060110942900 49.641458131251404 42.239906978745296
1237661083199210085 49.6282984725789 41.229738116198895
1237670959484240407 49.85597818686 40.799190759004205
1237661059574465263 50.2855776364297 41.3230425309137
1237661059574531028 50.486843424525496 41.2958195608297
1237661060111401352 50.6842232993215 41.595647190013
1237661055281595016 49.3598803144273 41.6100486691155
1237661059574071379 49.2405024811777 41.963332277869
