objID ra dec
1237660977971856019 50.390209222845 41.3009288300919
1237661055282053713 50.510522080182 41.0457200689016
1237661055818334676 49.2603352272085 42.1023438331249
1237661055818727819 50.2920480039256 41.6590459282968
1237661055818793237 50.508234460875904 41.644696370310704
1237660977971528033 49.6944815338315 41.772156679838204
1237660977971725591 50.130545219603995 41.390063351025795
1237660979045401873 50.6350951563951 42.1793589108824
1237661055281856999 49.91561434886721 41.2329477624084
1237661055818662074 50.027746192329204 41.681616560907294
1237660978508726406 50.684240720833394 41.5956999360983
1237661055281594545 49.333674957476 41.650314098243605
1237661055281725712 49.655019844464796 41.5208707651725
1237661055818858771 50.5993034579672 41.486222999557796
1237660977971790319 50.366000217442895 41.38244730361979
1237660977971986576 50.6896710621429 41.062054510022605
1237660978508399896 50.0479585318248 42.012845016443
1237660979045400900 50.588753494706005 42.2234827703716
1237661059574464591 50.15374220562221 41.3639746034005
1237661059574465312 50.366014198696206 41.3824666708252
1237660977971593415 49.721030898748 41.5486950847321
1237660977971724593 50.0308259950665 41.3882596106066
1237661055818465985 49.7217381181006 41.986387468201706
1237661056355467551 50.2341897647649 42.1547581900204
1237661059574399641 50.0308283659175 41.3882932987744
1237661059574530252 50.335960473301704 41.2395829369233
1237661059574268114 49.6726683519865 41.6146507464521
1237661060111073776 49.9886378601426 42.141226903195
1237660978508267943 49.5843364518788 42.19207173321
1237660978508661509 50.506115493482895 41.6972094888295
1237661055818662382 50.0875796462768 41.6397227005872
1237661060111139060 50.0881167075385 42.009113082247296
1237661060111336490 50.5061272543526 41.6972035651587
1237660977971790521 50.378334856451104 41.3589323050642
1237661055818860255 50.6604516717271 41.37368083854621
1237661059574399837 50.090881358871 41.3719481351898
1237661055818794113 50.4398792491128 41.542004874397
1237661060111008156 49.730308029502105 42.0899233982471
1237661055281660257 49.5033798364282 41.593452129243296
1237661059574202482 49.6099450288978 41.8187317443038
1237661059574399838 50.102952491131106 41.372169080939
1237661060111139122 50.104619696754895 42.0173452091005
1237661083199472112 50.3032903561368 40.948582616182996
1237660977971331738 49.2249429216355 41.9602382527095
1237661055282053394 50.372414119062704 40.9714411497885
1237660979045400744 50.516070892767495 42.1970876989113
1237661055281594550 49.24764161755011 41.603155477812294
1237661055818401198 49.5908758649711 42.0769970782354
1237661082662469818 49.592350853953704 40.766451145625894
1237661083199275237 49.697711699383404 41.151018917061
1237661055281856551 49.88319112643251 41.304233806153704
1237661055818662238 50.096319408477 41.7132173808056
1237661056355663919 50.679435074166896 41.915639867552294
1237661059574071379 49.2405024811777 41.963332277869
1237660977971593443 49.849483624212105 41.692387686557105
1237660977971724939 50.25140057832971 41.4547396227452
1237660978508267896 49.62741118256479 42.25874890945929
1237661055818727999 50.352094145919196 41.65140201365929
1237661059574268461 49.849493642492 41.692411543123995
1237661056355533191 50.380924250548894 42.0081376233595
1237661059574465263 50.2855776364297 41.3230425309137
1237660977971725315 50.162292143270506 41.45119366837179
1237660977971789922 50.255821845493 41.4344609806232
1237661055818793771 50.570276791222106 41.552490346348705
1237661059574400383 50.1622841085971 41.4511912544326
1237661059574465270 50.2558086297081 41.285926984341
1237661059574137466 49.472407870180206 41.7410999930444
1237661059574530857 50.39021091684071 41.300937608454106
1237661083199472188 50.1844055986588 40.800758751561496
1237661083199538232 50.38991078161921 40.83946032990411
1237661055818662544 50.1240046283114 41.6598757568739
1237661055818859166 50.638364494197795 41.4278021760306
1237660978508398929 49.90543145562221 42.004746934241794
1237661055281726564 49.7076635211732 41.506637295009604
1237661055818727579 50.2210012542924 41.6465878575507
1237661056355532908 50.4234738702804 42.1567865001745
1237661083199209789 49.5877552739575 41.2728334508948
1237661122387969014 49.7076221577186 41.5066521601863
1237660977971724539 50.044373090058606 41.3753142710641
1237661056355598811 50.536621229052294 41.8943118493189
1237661083199209788 49.587314822403 41.277496873207
1237661122388361488 50.631248577600005 40.8151681763549
1237660978508464155 50.1068886139061 42.07034857458461
1237661083199144307 49.375688279882205 41.3131551961883
1237661122388033751 49.79531230511729 41.269500542065394
1237670457511248018 49.6032235919971 40.923656831795704
1237661055282053546 50.5271595246709 41.0818031999235
1237661083736015019 49.5973564553224 41.629598002512104
1237661122388295858 50.5271933971865 41.0818438233021
1237660978508202664 49.4619453371331 42.231846286471
1237661055818662465 50.1003305955669 41.6692731978695
1237661056355598609 50.5918045294831 42.0146387492174
1237670457511444596 49.9985462056581 41.2565107918465
1237660977971725482 50.0671578898423 41.482621000745
1237661055281987723 50.2936651404562 41.2002883451211
1237661059574399521 50.067134387816495 41.4826275931456
1237661083199471773 50.1746724865147 40.9147830942656
1237670457511511350 50.0671761673111 41.4826134247056
1237670457511772688 50.5134418663219 41.9770747468515
1237661060648076906 50.635100791769396 42.1793722456531
1237661083736212475 50.1305478767789 41.3900572739898
1237661121851162862 49.4702868980547 40.897228712348706
1237670457511379406 49.9156562246768 41.2329665453834
1237661059574203091 49.6705470602095 41.7383873425415
1237661059574661445 50.686610015105494 41.1176107528057
1237661083199406444 50.079347187056996 40.9993438619052
1237661083736211484 50.0794998426898 41.3755476659811
1237661083199079244 49.3047948951003 41.333346132429206
1237661083199537242 50.3390569631287 40.844157372987105
