No.	|	Object Name	|	RA	|	DEC	|	Type	|	Velocity	|	Redshift	|	Redshift Flag	|	Magnitude and Filter	|	Separation	|	References	|	Notes	|	Photometry Points	|	Positions	|	Redshift Points	|	Diameter Points	|	Associations
32	|	WHL J032134.6+414751	|	 50.39398 	|	  41.79749 	|	GClstr	|	 56181	|	 0.187400 	|	PHOT	|	     	|	 26.249	|	1	|	0	|	0	|	1	|	1	|	0	|	0
34	|	2MASS J03172625+4120076	|	 49.35937 	|	  41.33552 	|	G	|	 17756	|	 0.059228 	|	SPEC	|	     	|	 28.626	|	0	|	0	|	6	|	2	|	1	|	0	|	0
35	|	2MASS J03172055+4141105	|	 49.33511 	|	  41.68630 	|	UvS	|	 40168	|	 0.133985 	|	SPEC	|	     	|	 29.539	|	1	|	0	|	14	|	4	|	1	|	0	|	0
36	|	2MASX J03172020+4119484	|	 49.33421 	|	  41.33008 	|	G	|	 17787	|	 0.059332 	|	SPEC	|	     	|	 29.800	|	1	|	0	|	23	|	4	|	1	|	2	|	1
37	|	2MASS J03171221+4122521	|	 49.30091 	|	  41.38108 	|	UvS	|	 17807	|	 0.059397 	|	SPEC	|	     	|	 30.255	|	1	|	0	|	10	|	3	|	1	|	0	|	0
39	|	2MASX J03170818+4142162	|	 49.28413 	|	  41.70456 	|	G	|	 40195	|	 0.134077 	|	SPEC	|	     	|	 32.063	|	1	|	0	|	15	|	3	|	2	|	2	|	0
40	|	2MASX J03221984+4115189	|	 50.58279 	|	  41.25528 	|	G	|	 12125	|	 0.040445 	|	SPEC	|	17.2 	|	 32.350	|	2	|	0	|	23	|	4	|	1	|	2	|	0
41	|	WHL J031654.8+412718	|	 49.22840 	|	  41.45487 	|	GClstr	|	 74978	|	 0.250100 	|	PHOT	|	     	|	 32.644	|	1	|	0	|	0	|	1	|	1	|	0	|	0
42	|	2MASS J03173188+4109560	|	 49.38267 	|	  41.16572 	|	UvS	|	 40778	|	 0.136022 	|	SPEC	|	     	|	 32.949	|	2	|	0	|	14	|	5	|	2	|	0	|	0
43	|	2MASS J03165939+4119332	|	 49.24803 	|	  41.32554 	|	UvS	|	 39557	|	 0.131947 	|	SPEC	|	     	|	 33.529	|	1	|	0	|	13	|	4	|	1	|	0	|	0
44	|	2MASX J03174202+4106565	|	 49.42504 	|	  41.11564 	|	G	|	 65879	|	 0.219750 	|	SPEC	|	     	|	 33.553	|	1	|	0	|	15	|	2	|	1	|	2	|	0
45	|	2MASX J03170273+4116322	|	 49.26129 	|	  41.27564 	|	G	|	 40267	|	 0.134315 	|	SPEC	|	     	|	 34.109	|	1	|	0	|	15	|	2	|	1	|	2	|	0
48	|	WHL J031721.9+410824	|	 49.34114 	|	  41.14005 	|	GClstr	|	 90717	|	 0.302600 	|	PHOT	|	     	|	 35.377	|	1	|	0	|	0	|	1	|	1	|	0	|	0
49	|	2MASX J03170622+4149382	|	 49.27600 	|	  41.82739 	|	G	|	 52227	|	 0.174209 	|	SPEC	|	     	|	 35.681	|	1	|	0	|	15	|	3	|	2	|	2	|	0
50	|	2MASX J03171327+4109562	|	 49.30525 	|	  41.16553 	|	G	|	 40546	|	 0.135247 	|	SPEC	|	     	|	 35.732	|	1	|	0	|	18	|	3	|	1	|	2	|	0
51	|	2MASS J03163671+4135440	|	 49.15299 	|	  41.59557 	|	G	|	 43924	|	 0.146514 	|	SPEC	|	     	|	 36.168	|	0	|	0	|	6	|	2	|	1	|	0	|	0
52	|	2MASX J03225995+4137567	|	 50.74992 	|	  41.63236 	|	G	|	 39866	|	 0.132979 	|	SPEC	|	     	|	 36.599	|	1	|	0	|	15	|	2	|	1	|	2	|	0
53	|	2MASX J03230446+4128047	|	 50.76867 	|	  41.46792 	|	G	|	 14566	|	 0.048587 	|	SPEC	|	18.6 	|	 36.858	|	2	|	0	|	15	|	2	|	1	|	2	|	0
54	|	WHL J032231.3+415202	|	 50.63058 	|	  41.86715 	|	GClstr	|	 75907	|	 0.253200 	|	PHOT	|	     	|	 37.187	|	1	|	0	|	0	|	1	|	1	|	0	|	0
55	|	2MASS J03165339+4112386	|	 49.22248 	|	  41.21077 	|	G	|	 38907	|	 0.129781 	|	SPEC	|	     	|	 37.435	|	0	|	0	|	6	|	2	|	1	|	0	|	0
56	|	2MASX J03182179+4204372	|	 49.59079 	|	  42.07697 	|	G	|	 24293	|	 0.081032 	|	SPEC	|	18.3 	|	 37.543	|	2	|	0	|	15	|	2	|	1	|	2	|	0
57	|	2MASS J03164587+4115008	|	 49.19113 	|	  41.25023 	|	G	|	 39121	|	 0.130495 	|	SPEC	|	     	|	 37.621	|	0	|	0	|	6	|	2	|	1	|	0	|	0
58	|	WHL J031645.9+411501	|	 49.19112 	|	  41.25025 	|	GClstr	|	 39453	|	 0.131600 	|	SPEC	|	     	|	 37.621	|	1	|	0	|	0	|	1	|	2	|	0	|	0
59	|	2MASX J03171803+4105422	|	 49.32512 	|	  41.09514 	|	G	|	 40382	|	 0.134700 	|	SPEC	|	     	|	 37.678	|	1	|	0	|	15	|	2	|	1	|	2	|	0
60	|	2MASX J03163860+4115585	|	 49.16096 	|	  41.26628 	|	G	|	 43821	|	 0.146172 	|	SPEC	|	     	|	 38.477	|	1	|	0	|	15	|	2	|	1	|	2	|	0
61	|	2MASX J03222727+4156149	|	 50.61367 	|	  41.93750 	|	G	|	 28156	|	 0.093919 	|	SPEC	|	     	|	 39.169	|	1	|	0	|	15	|	2	|	1	|	2	|	0
63	|	2MASS J03162035+4119561	|	 49.08481 	|	  41.33230 	|	G	|	 35614	|	 0.118797 	|	SPEC	|	     	|	 40.416	|	0	|	0	|	6	|	2	|	1	|	0	|	0
64	|	2MASX J03233016+4133565	|	 50.87554 	|	  41.56578 	|	G	|	 14677	|	 0.048957 	|	SPEC	|	17.7 	|	 41.663	|	2	|	0	|	15	|	2	|	1	|	2	|	0
65	|	WHL J031607.6+412113	|	 49.03178 	|	  41.35369 	|	GClstr	|	 50065	|	 0.167000 	|	PHOT	|	     	|	 42.408	|	1	|	0	|	0	|	1	|	1	|	0	|	0
66	|	2MASX J03212782+4052199	|	 50.36604 	|	  40.87222 	|	G	|	 15605	|	 0.052054 	|	SPEC	|	16.8 	|	 42.707	|	2	|	0	|	15	|	2	|	1	|	2	|	0
67	|	2MASX J03205256+4049185	|	 50.21887 	|	  40.82183 	|	G	|	 25571	|	 0.085294 	|	SPEC	|	18.6 	|	 43.128	|	2	|	0	|	15	|	2	|	1	|	2	|	0
68	|	2MASX J03163000+4153056	|	 49.12508 	|	  41.88483 	|	G	|	 40169	|	 0.133991 	|	SPEC	|	     	|	 43.234	|	1	|	0	|	15	|	3	|	2	|	2	|	0
69	|	2MASX J03214584+4053310	|	 50.44096 	|	  40.89194 	|	G	|	 29691	|	 0.099039 	|	SPEC	|	     	|	 43.274	|	1	|	0	|	15	|	2	|	1	|	2	|	0
70	|	2MASX J03233737+4121585	|	 50.90579 	|	  41.36639 	|	G	|	 14397	|	 0.048023 	|	SPEC	|	     	|	 43.837	|	1	|	0	|	15	|	2	|	1	|	2	|	0
72	|	2MASX J03160735+4148487	|	 49.03058 	|	  41.81356 	|	G	|	 24987	|	 0.083346 	|	SPEC	|	     	|	 45.043	|	1	|	0	|	15	|	2	|	1	|	2	|	0
73	|	2MASX J03234843+4137135	|	 50.95192 	|	  41.62044 	|	G	|	 40215	|	 0.134142 	|	SPEC	|	     	|	 45.418	|	1	|	0	|	15	|	2	|	1	|	2	|	0
74	|	2MASS J03194241+4045072	|	 49.92663 	|	  40.75194 	|	G	|	 17741	|	 0.059177 	|	SPEC	|	18.3 	|	 45.598	|	2	|	0	|	5	|	2	|	1	|	0	|	0
75	|	2MASX J03162544+4156127	|	 49.10608 	|	  41.93681 	|	G	|	 34019	|	 0.113476 	|	SPEC	|	     	|	 45.618	|	1	|	0	|	15	|	3	|	2	|	2	|	0
76	|	2MASX J03233837+4150195	|	 50.90979 	|	  41.83906 	|	G	|	 14592	|	 0.048673 	|	SPEC	|	17.2 	|	 47.258	|	2	|	0	|	14	|	2	|	1	|	2	|	0
77	|	2MASX J03153728+4139432	|	 48.90525 	|	  41.66200 	|	G	|	 43957	|	 0.146624 	|	SPEC	|	     	|	 47.774	|	1	|	0	|	15	|	2	|	1	|	2	|	0
78	|	WHL J032157.4+421221	|	 50.48911 	|	  42.20592 	|	GClstr	|	 40172	|	 0.134000 	|	SPEC	|	     	|	 48.103	|	1	|	0	|	0	|	1	|	2	|	0	|	0
79	|	2MASX J03215738+4212220	|	 50.48908 	|	  42.20606 	|	G	|	 40178	|	 0.134020 	|	SPEC	|	     	|	 48.110	|	1	|	0	|	15	|	2	|	1	|	2	|	0
80	|	2MASX J03182645+4044517	|	 49.61021 	|	  40.74775 	|	G	|	 42063	|	 0.140307 	|	SPEC	|	     	|	 48.350	|	1	|	0	|	15	|	2	|	1	|	2	|	0
81	|	WHL J032408.2+412937	|	 51.03401 	|	  41.49350 	|	GClstr	|	 42031	|	 0.140200 	|	PHOT	|	     	|	 48.693	|	1	|	0	|	0	|	1	|	1	|	0	|	0
82	|	2MASX J03152698+4128074	|	 48.86238 	|	  41.46867 	|	G	|	 40142	|	 0.133898 	|	SPEC	|	     	|	 48.980	|	1	|	0	|	15	|	2	|	1	|	2	|	0
83	|	WHL J031637.6+420500	|	 49.15681 	|	  42.08347 	|	GClstr	|	109184	|	 0.364200 	|	PHOT	|	     	|	 49.374	|	1	|	0	|	0	|	1	|	1	|	0	|	0
84	|	WHL J031557.0+410708	|	 48.98768 	|	  41.11885 	|	GClstr	|	 68023	|	 0.226900 	|	PHOT	|	     	|	 49.385	|	1	|	0	|	0	|	1	|	1	|	0	|	0
85	|	2MASX J03201435+4041012	|	 50.05983 	|	  40.68372 	|	G	|	 14403	|	 0.048044 	|	SPEC	|	16.7 	|	 49.923	|	2	|	0	|	15	|	2	|	1	|	2	|	0
86	|	ClG J031924.2+404055	|	 49.85099 	|	  40.68192 	|	GClstr	|	203859	|	 0.680000 	|	SPEC	|	     	|	 49.990	|	1	|	0	|	0	|	1	|	2	|	0	|	0
