ObjectName,RA,DEC,Redshift,RedshiftFlag
2MASXJ03175285+4053504,49.47021,40.89733,0.021005,SPEC
IC0308,49.06596,41.18075,0.020988,
2MASXJ03225058+4101397,50.71083,41.02778,0.020303,SPEC
UGC02686,50.25554,40.79775,0.020314,
2MASXJ03155331+4119242,48.97212,41.32333,0.019887,SPEC
2MASXJ03163444+4102506,49.14354,41.04742,0.012822,
2MASXJ03174508+4210522,49.43750,42.18108,0.020741,
UGC02664,49.87521,40.74219,0.020237,
UGC02698,50.51200,40.86389,0.021418,
2MASXJ03235754+4131183,50.98989,41.52187,0.017243,SPEC
2MASXJ03155773+4112572,48.99054,41.21592,0.019050,
2MASSJ03220520+4210089,50.52163,42.16942,0.017633,SPEC
2MASXJ03235662+4138173,50.98592,41.63822,0.016936,SPEC
2MASXJ03183055+4215321,49.62725,42.25883,0.030673,SPEC
UGC02696,50.52137,42.17203,0.018189,
2MASSJ03220508+4210263,50.52117,42.17436,0.018475,SPEC
2MASXJ03235425+4141504,50.97604,41.69742,0.021475,SPEC
2MASXJ03235094+4116575,50.96229,41.28269,0.016954,SPEC
2MASXJ03163390+4201325,49.14133,42.02572,0.013602,SPEC
2MASSJ03161106+4106067,49.04600,41.10181,0.029063,SPEC
2MASXJ03170749+4052522,49.28117,40.88122,0.022005,
UGC02616,48.96683,41.85736,0.015634,
CGCG540-090,49.68583,42.30111,0.019620,
UGC02654,49.67958,42.30058,0.019323,
