ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
2MASXJ01235909+3319541,1.23768E+18,20.99603886,33.33150104,7761,301,2,132,GALAXY,17.96564,16.32737,15.53793,15.16132,14.86793
2MASXJ01232343+3322542,1.23768E+18,20.84769046,33.38168966,7761,301,2,131,GALAXY,17.97799,16.29374,15.50044,15.11053,14.82934
2MASSJ01230478+3258262,1.23768E+18,20.76993796,32.97394239,7761,301,1,131,STAR,17.45345,16.12201,15.58074,15.35177,15.24707
2MASXJ01221171+3326573,1.23767E+18,20.54892419,33.44917797,4829,301,3,164,GALAXY,18.11771,16.38744,15.57005,15.16195,14.86548
2MASSJ01223792+3255118,1.23767E+18,20.65809536,32.91996529,4829,301,3,161,STAR,17.98246,16.886,16.39206,16.19666,16.10409
2MASXJ01211822+3309310,1.23768E+18,20.32585491,33.15866685,7761,301,1,128,GALAXY,18.12964,16.42603,15.66454,15.29257,15.0165
2MASXJ01255535+3326144,1.23768E+18,21.48075199,33.43729025,7761,301,2,134,GALAXY,18.31546,16.45316,15.53504,15.08297,14.72295
2MASSJ01214803+3255210,1.23767E+18,20.45014012,32.92249748,4829,301,3,161,STAR,17.14606,16.05585,15.82728,15.76851,15.75981
2MASSJ01211520+3301380,1.23768E+18,20.3133699,33.02723799,7761,301,1,128,STAR,18.42354,16.8828,16.34526,16.16403,16.08368
2MASSJ01224836+3242167,1.23768E+18,20.70152554,32.70459965,8112,301,6,57,STAR,17.72946,16.12367,15.52815,15.33792,15.25975
2MASSJ01225753+3241235,1.23768E+18,20.73975625,32.68986984,8112,301,6,57,STAR,18.17804,16.60907,15.89598,15.61013,15.44173
2MASSJ01230609+3240223,1.23768E+18,20.77539115,32.67284661,8112,301,6,57,STAR,18.13348,16.45219,15.86095,15.65289,15.55676
2MASXJ01222353+3348541,1.23767E+18,20.59791055,33.8149611,4829,301,3,167,GALAXY,18.61014,16.79098,15.96889,15.56386,15.24578
2MASSJ01211411+3253006,1.23768E+18,20.30882861,32.88352068,7781,301,1,67,STAR,17.33485,16.06889,15.61809,15.36858,15.37755
2MASSJ01232954+3235389,1.23768E+18,20.87311959,32.5941197,8112,301,6,58,STAR,18.77013,17.07782,16.41286,16.182,16.05266
GALEXASCJ012037.86+333326.7,1.23767E+18,20.15719666,33.55707162,4829,301,4,165,GALAXY,18.07695,16.73338,16.383,16.20445,16.23403
KUG0121+337A,1.23768E+18,21.02553713,34.01267441,7781,301,4,70,GALAXY,17.70656,16.85159,16.48273,16.43958,16.31662
2MASSJ01200461+3307229,1.23767E+18,20.01926328,33.12307206,4829,301,4,162,STAR,17.62391,16.66078,16.34205,16.20537,16.17721
2MASSJ01242728+3230128,1.23767E+18,21.11367636,32.50355376,4829,301,2,158,STAR,18.95764,17.02558,16.2469,15.97234,15.80902
2MASSJ01222381+3231270,1.23767E+18,20.59918209,32.52414146,4829,301,3,158,STAR,17.39315,16.41582,16.01128,15.86113,15.78897
2MASSJ01244200+3229560,1.23768E+18,21.17500515,32.49883176,8111,301,6,199,STAR,18.06994,16.58073,16.01416,15.81523,15.73266
2MASSJ01230244+3228330,1.23768E+18,20.76019589,32.47578747,8111,301,6,197,STAR,18.09595,16.6325,16.08961,15.8882,15.80622
2MASSJ01214086+3234102,1.23767E+18,20.4202617,32.56948029,4829,301,3,158,GALAXY,19.15701,17.31333,16.42134,15.98126,15.657
2MASSJ01240778+3227172,1.23767E+18,21.03244585,32.45479088,4829,301,2,158,STAR,18.75397,17.13358,16.44495,16.18399,16.03783
2MASXJ01204408+3348062,1.23767E+18,20.1837525,33.80175209,4829,301,4,166,GALAXY,19.29749,17.41411,16.49258,16.04695,15.70661
2MFGC01042,1.23767E+18,20.62159992,34.04001482,4829,301,3,168,GALAXY,17.72379,16.32042,15.61603,15.22439,14.94723
LEDA169761,1.23768E+18,20.00542425,33.65447082,7781,301,3,65,STAR,18.66213,17.09698,16.4793,16.26357,16.17201
2MASSJ01213548+3230075,1.23767E+18,20.39782411,32.50210909,4829,301,3,158,STAR,18.96739,17.04874,16.2949,16.04515,15.90875
2MASSJ01241466+3222491,1.23767E+18,21.06111068,32.3803042,4829,301,2,158,STAR,18.17989,16.50536,15.84628,15.59166,15.46775
KUG0120+338,1.23767E+18,20.75661302,34.13398836,4829,301,3,169,GALAXY,17.28478,16.10108,15.66959,15.44924,15.36138
2MASXJ01201261+3346571,1.23768E+18,20.05264316,33.78258616,7781,301,3,65,GALAXY,18.24244,16.8367,16.05993,15.59298,15.28594
2MASSJ01192791+3333311,1.23768E+18,19.86625381,33.5585663,7761,301,2,125,STAR,17.16781,16.18259,15.85852,15.72735,15.69129
2MASSJ01221965+3221504,1.23767E+18,20.58192868,32.3640324,4829,301,3,157,STAR,17.88733,16.75378,16.29316,16.1247,16.04834
2MASSJ01231505+3218482,1.23768E+18,20.81279774,32.31340775,8112,301,5,58,STAR,17.23461,16.13079,15.68543,15.50056,15.41842
2MASSJ01191606+3255325,1.23768E+18,19.81690633,32.92576007,7781,301,1,65,STAR,17.51645,16.42232,16.05993,15.9186,15.86782
2MASSJ01193608+3246126,1.23768E+18,19.90040486,32.77014783,8112,301,6,52,STAR,16.88804,15.66237,15.63203,15.64905,15.69833
