ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
SDSSJ010802.80+313528.1,1.23768E+18,17.01167647,31.59114744,8111,301,3,176,GALAXY,23.35513,20.31024,18.55426,17.93129,17.57681
SDSSJ010606.68+313736.9,1.23768E+18,16.52787057,31.62693049,8111,301,3,174,GALAXY,21.33549,20.61218,19.5027,18.58827,18.30068
SDSSJ010338.19+323935.8,1.23768E+18,15.90914954,32.65995925,8111,301,5,169,STAR,21.81955,20.19356,19.75977,19.71868,19.71628
SDSSJ010602.71+331147.3,1.23768E+18,16.51131134,33.19649224,7781,301,1,46,STAR,21.47964,20.14444,19.56034,19.31834,19.16861
SDSSJ010348.73+324542.4,1.23768E+18,15.95304787,32.76179828,8150,301,5,126,GALAXY,23.90434,22.83886,21.10107,19.94823,19.48023
SDSSJ010327.80+322048.8,1.23768E+18,15.86587286,32.34690544,8150,301,4,126,GALAXY,23.54866,21.61821,19.72688,18.99091,18.52723
2MASXJ01050689+3143465,1.23768E+18,16.27886411,31.72953646,8111,301,3,172,GALAXY,17.77891,16.50535,15.85883,15.57369,15.32984
SDSSJ010859.22+313831.5,1.23768E+18,17.24679186,31.64210483,8111,301,3,178,GALAXY,23.78784,22.57278,20.75847,19.7284,19.18985
SDSSJ010519.52+314156.2,1.23768E+18,16.33134079,31.69896064,8111,301,3,172,GALAXY,25.50606,22.48994,20.99924,19.98836,19.44442
SDSSJ010945.88+330535.6,1.23768E+18,17.44117303,33.09323643,7781,301,1,51,GALAXY,26.21482,21.9674,20.54296,19.49649,19.02555
SDSSJ010524.07+314059.3,1.23768E+18,16.35029002,31.68316556,8111,301,3,173,GALAXY,22.01998,21.08611,19.16535,18.48594,18.08967
SDSSJ010640.15+331436.0,1.23768E+18,16.66732036,33.24334041,7781,301,1,47,GALAXY,23.38229,21.23362,19.79474,18.97446,18.45131
CGCG501-120,1.23768E+18,17.79723047,32.70182711,8111,301,6,180,GALAXY,16.34125,14.53809,13.75637,13.3569,13.06738
WHLJ010409.4+315517,1.23768E+18,16.03920015,31.92129147,8150,301,3,127,GALAXY,19.29857,17.17904,16.10917,15.65464,15.26832
SDSSJ011126.09+322439.2,1.23768E+18,17.85871072,32.41089298,8111,301,5,180,GALAXY,25.87266,23.26388,21.49771,20.16972,19.64532
SDSSJ010553.09+313741.9,1.23768E+18,16.47122141,31.62832334,8111,301,3,173,GALAXY,25.6068,22.98077,20.21566,19.17599,18.55371
2MASSJ01032432+3229411,1.23768E+18,15.85135278,32.49474524,8111,301,5,169,GALAXY,22.4366,20.52105,18.9906,18.30898,17.89237
SDSSJ010746.17+331536.4,1.23768E+18,16.94239378,33.26012881,7781,301,1,48,STAR,21.2901,19.66203,19.30351,19.19193,19.00887
2MASSJ01102991+3151589,1.23768E+18,17.62476903,31.86636912,8112,301,3,40,GALAXY,25.53308,20.82246,19.05645,18.38068,17.94333
SDSSJ010652.07+331522.3,1.23768E+18,16.71698281,33.25621279,7781,301,1,47,GALAXY,23.46585,21.95061,20.52631,19.55933,18.94418
SDSSJ010955.86+314453.5,1.23768E+18,17.48277642,31.74821172,8112,301,3,39,GALAXY,23.5676,21.58331,20.02955,19.22035,18.66826
2MASSJ01102937+3151461,1.23768E+18,17.622236,31.86283336,8112,301,3,40,GALAXY,24.69545,21.12919,19.11471,18.57298,18.23795
SDSSJ010525.12+330919.5,1.23768E+18,16.35467772,33.15544474,8112,301,6,32,GALAXY,25.82564,21.78557,20.23572,19.37271,18.8577
SDSSJ010330.94+323834.6,1.23768E+18,15.87892702,32.64294685,8111,301,5,169,STAR,26.0741,21.1478,20.27013,19.8959,19.58996
UGC00669,1.23768E+18,16.32879933,31.68204706,8111,301,3,172,GALAXY,17.38638,15.36317,14.43073,13.93345,13.52175
SDSSJ011127.81+322736.0,1.23768E+18,17.86587907,32.46001566,8111,301,5,180,GALAXY,23.11608,22.13698,20.30776,19.37527,18.92068
2MASSJ01055020+3312041,1.23768E+18,16.45921335,33.20116104,7781,301,1,46,STAR,21.04144,18.41287,17.33253,16.92256,16.68007
2MASXJ01050392+3142554,1.23768E+18,16.26647201,31.71542224,8111,301,3,172,GALAXY,19.85972,18.00548,16.96724,16.47588,16.0759
SDSSJ010427.67+314933.6,1.23768E+18,16.11530755,31.82601946,8112,301,3,32,STAR,22.95815,21.7902,21.74435,21.74401,21.26858
2MASXJ01050494+3142414,1.23768E+18,16.27056131,31.711473,8111,301,3,172,GALAXY,19.65971,17.77762,16.74835,16.29919,15.93194
UGC00646,1.23768E+18,15.85984893,32.23735415,8111,301,4,169,GALAXY,16.33074,14.35191,13.45179,13.00474,12.70054
2MASSJ01112619+3217037,1.23768E+18,17.85922547,32.28425705,8111,301,5,181,GALAXY,24.49905,21.11989,19.905,18.97782,18.51248
SDSSJ010358.20+315721.4,1.23768E+18,15.99251701,31.95596179,8150,301,3,127,GALAXY,24.54072,22.47873,20.98716,20.15255,19.61019
2MASSJ01064678+3315449,1.23768E+18,16.69492836,33.26254359,7781,301,1,47,GALAXY,21.49379,19.1514,17.65696,17.08363,16.72788
2MASSJ01102057+3300565,1.23768E+18,17.5857937,33.01585457,8112,301,6,39,GALAXY,22.0006,19.64703,18.22499,17.6484,17.27813
SDSSJ010321.03+321944.8,1.23768E+18,15.83763219,32.32912721,8150,301,4,126,STAR,25.49571,22.00679,21.26103,21.12274,20.9687
UZC-CG015,1.23768E+18,17.05379264,33.2607958,7781,301,1,49,STAR,25.00673,24.59941,24.297,22.27933,22.66076
