ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
2MASSJ01234862+3313164,1.23768E+18,20.95259928,33.22120599,7781,301,2,71,STAR,21.19507,18.48868,17.45778,17.05552,16.83599
SDSSJ012353.87+331427.1,1.23768E+18,20.97446926,33.24088492,7781,301,2,71,GALAXY,23.22679,21.61349,20.08772,18.78355,17.94413
SDSSJ012333.68+331927.2,1.23768E+18,20.89035319,33.32423242,7761,301,2,131,GALAXY,26.12898,21.40996,19.37117,18.80145,18.20672
NGC0503,1.23768E+18,20.86843795,33.33183101,7761,301,2,131,GALAXY,16.84132,14.95925,13.96951,13.60625,13.3158
ARK039,1.23768E+18,20.99383281,33.31323872,7761,301,2,132,GALAXY,16.72145,14.85588,13.98999,13.57135,13.25546
2MASXJ01234321+3321012,1.23768E+18,20.9301228,33.35046342,7761,301,2,131,GALAXY,20.59575,18.38972,16.98456,16.446,16.06711
SDSSJ012407.98+331510.6,1.23767E+18,21.03328274,33.25294746,4829,301,2,163,GALAXY,21.11129,20.21129,19.72848,19.02592,19.41865
2MASXJ01235909+3319541,1.23768E+18,20.99603886,33.33150104,7761,301,2,132,GALAXY,17.96564,16.32737,15.53793,15.16132,14.86793
SDSSJ012318.29+331944.4,1.23768E+18,20.82622455,33.32899844,7761,301,2,131,GALAXY,25.67708,21.9388,20.48199,19.63697,19.07309
IC1690,1.23768E+18,20.95641173,33.15623635,7781,301,2,71,GALAXY,16.82412,14.88712,14.03641,13.61932,13.26492
SDSSJ012411.21+331412.1,1.23767E+18,21.04673272,33.23671601,4829,301,2,163,GALAXY,21.97945,20.2239,18.98569,18.40719,18.10252
NGC0507GROUP,1.23768E+18,20.82923932,33.35685143,7761,301,2,131,STAR,24.88984,24.19664,22.77395,21.77142,22.32749
SDSSJ012409.31+331047.9,1.23767E+18,21.0388292,33.17999411,4829,301,2,163,STAR,20.1134,19.7948,19.69217,19.55659,19.60198
SDSSJ012406.33+330943.8,1.23767E+18,21.02639473,33.16217068,4829,301,2,163,GALAXY,22.12126,21.13561,19.34707,18.69985,18.02822
SDSSJ012308.93+331956.9,1.23768E+18,20.78722017,33.33249434,7761,301,2,130,GALAXY,25.37662,22.7152,20.43867,19.49895,18.93287
SDSSJ012301.13+331516.3,1.23768E+18,20.75471998,33.25453365,7781,301,2,69,GALAXY,23.04515,21.66488,19.839,19.0202,18.55689
2MASXJ01232343+3322542,1.23768E+18,20.84769046,33.38168966,7761,301,2,131,GALAXY,17.97799,16.29374,15.50044,15.11053,14.82934
SDSSJ012419.76+331431.9,1.23767E+18,21.08235649,33.24221048,4829,301,2,163,STAR,22.81271,20.40293,19.83798,19.56032,19.51966
[MHS2013]011,1.23767E+18,21.09718883,33.25863466,4829,301,2,163,STAR,23.36239,23.15497,23.61002,23.54904,21.99812
WHLJ012356.6+330657,1.23767E+18,20.98565552,33.11596891,4829,301,2,162,GALAXY,22.37487,19.7235,18.2621,17.69048,17.32797
2MASSJ01235652+3306576,1.23767E+18,20.98565552,33.11596891,4829,301,2,162,GALAXY,22.37487,19.7235,18.2621,17.69048,17.32797
SDSSJ012259.77+331141.3,1.23768E+18,20.74905969,33.19482754,7781,301,2,69,GALAXY,26.9494,21.28978,19.65054,18.82326,18.41681
SDSSJ012300.75+331057.0,1.23768E+18,20.75315905,33.18251379,7781,301,2,69,GALAXY,23.45611,21.92138,20.68629,19.82042,19.1249
RMJ012340.2+330553.5,1.23768E+18,20.91765759,33.09818976,7761,301,1,131,GALAXY,21.63708,19.94497,18.38293,17.8003,17.48794
2MASXJ01234027+3305532,1.23768E+18,20.91765759,33.09818976,7761,301,1,131,GALAXY,21.63708,19.94497,18.38293,17.8003,17.48794
2MASSJ01235023+3324397,1.23768E+18,20.95934252,33.41097121,7761,301,2,131,STAR,18.78918,17.83324,17.46188,17.31772,17.29402
SDSSJ012416.59+332114.0,1.23767E+18,21.06912906,33.35388763,4829,301,2,164,STAR,21.54513,20.93423,20.90294,20.7101,20.33927
2MASXJ01234321+3324592,1.23768E+18,20.92988324,33.41633965,7761,301,2,131,GALAXY,17.54844,15.83286,15.03976,14.65345,14.37466
SDSSJ012423.89+331852.4,1.23767E+18,21.0995795,33.31458028,4829,301,2,164,GALAXY,23.96043,22.45146,20.60264,19.59675,19.0209
2MASXJ01230483+3322062,1.23768E+18,20.7700421,33.36848832,7761,301,2,130,GALAXY,23.43978,19.84359,18.26515,17.67424,17.33647
2MASSJ01233189+3305142,1.23768E+18,20.88290082,33.08737414,7761,301,1,131,GALAXY,22.20669,19.84651,18.28178,17.70333,17.2892
WHLJ012331.9+330515,1.23768E+18,20.88290082,33.08737414,7761,301,1,131,GALAXY,22.20669,19.84651,18.28178,17.70333,17.2892
WHLJ012309.3+332335,1.23768E+18,20.78885598,33.39300789,7761,301,2,130,GALAXY,21.37393,19.38093,17.70013,17.12412,16.73886
[WH2015]0093,1.23768E+18,20.78885598,33.39300789,7761,301,2,130,GALAXY,21.37393,19.38093,17.70013,17.12412,16.73886
RMJ012309.3+332334.8,1.23768E+18,20.78885598,33.39300789,7761,301,2,130,GALAXY,21.37393,19.38093,17.70013,17.12412,16.73886
2MASXJ01230930+3323342,1.23768E+18,20.78885598,33.39300789,7761,301,2,130,GALAXY,21.37393,19.38093,17.70013,17.12412,16.73886
NGC0494,1.23767E+18,20.73069468,33.17391801,4829,301,3,163,GALAXY,15.2685,13.43828,12.53533,12.07171,11.72462
IC1688,1.23768E+18,20.86687586,33.08306815,7761,301,1,131,GALAXY,17.82885,15.94762,15.10547,14.67933,14.36565
SDSSJ012249.84+331314.4,1.23767E+18,20.70766136,33.22068098,4829,301,3,163,GALAXY,23.19203,21.71347,20.20446,19.28649,18.87413
2MASSJ01232381+3325317,1.23768E+18,20.84910623,33.42546887,7761,301,2,131,GALAXY,22.4097,19.98003,18.39524,17.84375,17.493
SDSSJ012310.41+332413.5,1.23768E+18,20.7933871,33.40376961,7761,301,2,130,GALAXY,22.75653,21.45437,19.83239,18.95453,18.38478
SDSSJ012418.78+330808.4,1.23767E+18,21.0782489,33.1356774,4829,301,2,163,GALAXY,24.64219,22.19305,20.42584,19.34519,18.82276
[HMS56]0122+3305,1.23768E+18,20.83067442,33.42824212,7761,301,2,131,GALAXY,22.70083,21.34726,20.41889,19.89279,19.41072
NGC0501,1.23768E+18,20.84335033,33.43294727,7761,301,2,131,GALAXY,16.92953,14.97821,14.09995,13.64928,13.33038
SDSSJ012247.30+331111.6,1.23767E+18,20.69711346,33.18657685,4829,301,3,163,GALAXY,23.59295,21.73839,20.35955,19.36705,18.87069
SDSSJ012319.07+332622.9,1.23768E+18,20.82949278,33.43969571,7761,301,2,131,GALAXY,22.13322,22.47668,20.92253,20.03761,19.75998
IC1689,1.23768E+18,20.94947583,33.05529404,7761,301,1,132,GALAXY,16.33665,14.5486,13.68295,13.2574,13.04012
IC1692,1.23767E+18,21.16468766,33.23574943,4829,301,2,163,GALAXY,17.05199,15.2662,14.46015,14.05321,13.7251
SDSSJ012319.72+332717.7,1.23768E+18,20.83218293,33.45493254,7761,301,2,131,GALAXY,25.65191,23.4663,21.66572,20.40881,20.42202
SDSSJ012330.78+330251.1,1.23768E+18,20.87828686,33.04754066,7761,301,1,131,STAR,20.09886,19.8302,19.73721,19.42148,19.33437
IC1691,1.23767E+18,21.10733398,33.40716033,4829,301,2,164,GALAXY,17.43735,15.67735,14.85101,14.43575,14.14678
SDSSJ012246.43+330821.5,1.23767E+18,20.69346103,33.13932633,4829,301,3,162,GALAXY,22.99573,21.83764,20.1819,19.35248,18.80571
SDSSJ012436.71+330915.6,1.23767E+18,21.15295938,33.15434046,4829,301,2,163,STAR,22.06355,20.94528,20.35368,19.82806,19.43251
B20120+33:[MLO2002]CLUSTER,1.23767E+18,20.68964983,33.375471,4829,301,3,164,STAR,24.56289,25.43931,25.51226,22.44212,23.17624
IC1684,1.23767E+18,20.72126878,33.41352629,4829,301,3,164,GALAXY,16.84165,15.07399,14.24045,13.81986,13.47117
NGC0499Group,1.23768E+18,20.79792184,33.46020197,7761,301,2,130,GALAXY,14.89282,12.90587,11.9844,11.5067,11.14841
SDSSJ012307.44+330333.3,1.23768E+18,20.78103636,33.05926858,7761,301,1,131,GALAXY,24.0786,21.03754,19.3839,18.63191,18.24906
NGC0499,1.23768E+18,20.79792184,33.46020197,7761,301,2,130,GALAXY,14.89282,12.90587,11.9844,11.5067,11.14841
SDSSJ012244.88+330758.7,1.23767E+18,20.68699874,33.13298569,4829,301,3,162,GALAXY,22.27395,20.3188,18.75459,17.9537,17.48062
SDSSJ012240.59+330823.1,1.23767E+18,20.66913872,33.13974879,4829,301,3,162,GALAXY,24.58007,20.35489,18.57574,17.74123,17.32561
SDSSJ012346.59+332936.3,1.23768E+18,20.94413866,33.4934316,7761,301,2,131,GALAXY,26.40025,22.38258,20.56754,19.45162,18.99166
SDSSJ012437.55+330735.8,1.23767E+18,21.15645558,33.12661385,4829,301,2,163,STAR,20.03321,19.78937,19.39624,19.37828,19.39079
SDSSJ012231.66+331229.7,1.23767E+18,20.63192915,33.20825853,4829,301,3,163,STAR,21.10476,20.70384,20.55963,20.55112,20.33605
2MASSJ01230382+3327564,1.23767E+18,20.76596449,33.46564836,4829,301,3,165,GALAXY,22.31231,20.35236,18.66541,18.10263,17.74626
SDSSJ012417.14+330229.7,1.23767E+18,21.07141561,33.04159815,4829,301,2,162,GALAXY,22.51215,20.43248,19.1353,18.57888,18.19712
2MASSJ01232536+3330149,1.23768E+18,20.85561071,33.50416646,7761,301,2,131,GALAXY,22.08556,20.1463,18.50765,17.95896,17.59604
NGC0498,1.23768E+18,20.79695773,33.48933319,7761,301,2,130,GALAXY,17.30293,15.4759,14.64905,14.23544,13.92551
SDSSJ012247.82+332602.2,1.23767E+18,20.69926995,33.4339596,4829,301,3,164,GALAXY,23.44718,21.71317,20.2305,19.41096,18.9462
SDSSJ012243.82+330518.6,1.23767E+18,20.68262005,33.08850695,4829,301,3,162,GALAXY,24.06541,20.96154,19.21576,18.55999,18.13683
SDSSJ012323.75+330006.5,1.23768E+18,20.84897041,33.00182105,7761,301,1,131,GALAXY,22.39137,21.86186,20.03583,19.16324,19.0181
SDSSJ012318.13+330014.3,1.23768E+18,20.82561853,33.00396798,7761,301,1,131,STAR,18.23469,18.00438,18.30508,18.56842,18.80596
NGC0495,1.23767E+18,20.73314852,33.47141208,4829,301,3,165,GALAXY,15.87846,13.89444,13.00983,12.57489,12.26814
SDSSJ012409.34+333034.7,1.23767E+18,21.03894779,33.50964391,4829,301,2,165,GALAXY,24.91292,23.13023,21.40387,19.96308,19.27785
SDSSJ012450.58+332233.1,1.23767E+18,21.2107522,33.37585829,4829,301,2,164,GALAXY,26.13799,22.24896,20.67797,19.70855,19.19287
SDSSJ012259.35+330112.0,1.23768E+18,20.74732414,33.02001321,7761,301,1,131,STAR,20.19736,19.33763,18.99625,18.91493,18.88782
