ObjectName,RA,DEC
SDSSJ012159.94+331640.8,20.49979,33.278
SDSSJ012159.87+331752.9,20.4995,33.29803
SDSSJ012218.70+330255.0,20.57792,33.04861
SDSSJ012454.69+332930.5,21.22789,33.49182
SDSSJ012455.42+332931.4,21.23095,33.49207
SDSSJ012208.57+332447.1,20.53573,33.4131
SDSSJ012437.37+333257.1,21.15571,33.5492
SDSSJ012354.21+333630.2,20.97589,33.60841
SDSSJ012522.40+331838.0,21.34335,33.31056
SDSSJ012208.51+332542.4,20.53546,33.42845
2MASXJ01221171+3326573,20.54917,33.44917
WHLJ012506.1+332822,21.27555,33.4729
2MASXJ01250610+3328225,21.27554,33.47294
SDSSJ012340.65+325300.1,20.91915,32.88342
SDSSJ012244.08+333432.8,20.68369,33.5758
SDSSJ012527.21+331636.0,21.3634,33.27669
SDSSJ012219.83+333036.6,20.58266,33.51018
SDSSJ012152.21+331830.5,20.46756,33.30848
IC1680,20.46333,33.2825
SDSSJ012201.25+330541.7,20.50524,33.09493
SDSSJ012152.17+331900.0,20.46739,33.31667
SDSSJ012244.88+333508.9,20.68703,33.58583
2MASSJ01233240+3252255,20.88489,32.87371
SDSSJ012246.51+333531.1,20.69383,33.59199
KUG0119+328,20.48167,33.13083
SDSSJ012149.94+331306.8,20.4581,33.21857
SDSSJ012159.55+330542.3,20.49814,33.0951
SDSSJ012409.34+333741.3,21.03894,33.62815
2MASSJ01251518+3327155,21.31315,33.4544
2MASSJ01251827+3326115,21.32619,33.43655
WHLJ012515.0+332726,21.31255,33.45713
2MASSJ01235081+3338433,20.96182,33.64528
SDSSJ012329.95+325159.8,20.8748,32.8665
2MASSJ01251475+3328002,21.31142,33.46683
RMJ012514.7+332800.6,21.31142,33.46683
2MASXJ01252224+3325095,21.34279,33.41922
SDSSJ012411.05+333800.8,21.04613,33.63365
SDSSJ012147.40+331728.9,20.44753,33.29138
2XMMIJ012351.8+333851,20.96621,33.64752
2MASSJ01225832+3337222,20.74301,33.62281
SDSSJ012533.31+331511.7,21.38879,33.25325
SDSSJ012532.26+331210.0,21.38443,33.2028
SDSSJ012518.88+332659.6,21.32868,33.44991
SDSSJ012532.50+331141.0,21.38545,33.19474
SDSSJ012455.26+325725.6,21.23025,32.95714
SDSSJ012504.16+333133.6,21.26737,33.52602
2MASXJ01224309+3336112,20.67971,33.60322
WHLJ012243.1+333612,20.67974,33.6033
SDSSJ012212.18+325957.3,20.55077,32.99925
2MASSJ01223792+3255118,20.65798,32.91998
SDSSJ012320.94+333903.9,20.83729,33.65108
2MASSJ01240798+3252035,21.0332,32.86774
SDSSJ012200.19+332723.1,20.50083,33.45642
WHLJ012349.0+333922,20.95411,33.65612
[WH2015]0095,20.95411,33.65612
RMJ012349.0+333922.0,20.95411,33.65612
2MASXJ01234898+3339222,20.95404,33.65614
SDSSJ012420.87+325246.3,21.08698,32.87955
SDSSJ012149.10+332239.6,20.45462,33.37769
2MASXJ01221732+3332433,20.57225,33.54536
SDSSJ012235.69+325439.3,20.64874,32.91093
SDSSJ012247.87+333734.6,20.69947,33.6263
2MASXJ01230849+3339122,20.78546,33.65347
WHLJ012308.5+333913,20.78555,33.6535
SDSSJ012234.63+333600.8,20.64429,33.60023
