ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0,Redshift,RedshiftFlag
2MASXJ03202094+4122254,1237661059574399831,50.0873396338013,41.3737384253356,3629,301,1,68,GALAXY,17.114079999999998,15.244179999999998,14.394770000000001,14.006160000000001,13.72829,0.023416,
2MASXJ03201009+4121043,1237661055281856931,50.042199611437596,41.3511482548724,3628,301,1,105,GALAXY,16.23198,15.108989999999999,14.64875,14.41446,14.262189999999999,0.006901000000000001,
2MASXJ03190207+4137121,1237661059574269233,49.75883154100121,41.6199281631011,3629,301,1,66,GALAXY,17.631439999999998,15.913889999999999,15.12282,14.770389999999999,14.5088,0.01851,SPEC
2MASXJ03194021+4119450,1237661055281856613,49.917487775244894,41.329199124333,3628,301,1,105,GALAXY,16.874129999999997,14.99949,14.16491,13.78382,13.50341,0.020581,
2MASXJ03201737+4120562,1237661055281856927,50.0724503707054,41.348930805005295,3628,301,1,105,GALAXY,17.16004,15.440660000000001,14.63221,14.271289999999999,13.97626,0.017462000000000002,
NGC1271,1237661122388033579,49.797043433846596,41.3531956441627,3643,301,6,64,GALAXY,15.96502,14.09906,13.24014,12.82744,12.54209,0.019183000000000002,
2MASXJ03184479+4130411,1237661055281726031,49.686731402472404,41.5114441278751,3628,301,1,103,GALAXY,18.201320000000003,16.38247,15.58811,15.19788,15.001929999999998,0.02394,SPEC
NGC1268,1237661055281725866,49.688172430547894,41.488763964252,3628,301,1,103,GALAXY,15.88764,14.234060000000001,13.74046,13.44839,13.31345,0.010884,
LCSBS0532P,1237661059574268293,49.7414833652148,41.6350645495977,3629,301,1,66,GALAXY,17.6591,15.856129999999999,15.06025,14.700610000000001,14.443679999999999,0.013637999999999999,SPEC
2MASXJ03204218+4124145,1237661059574464562,50.1757659779366,41.403975085540104,3629,301,1,69,GALAXY,16.84221,15.107879999999998,14.20835,13.815539999999999,13.676960000000001,0.012237999999999999,
NGC1267,1237661055281725840,49.687534735391104,41.4678465035982,3628,301,1,103,GALAXY,15.52483,13.77229,14.74934,14.890979999999999,13.20969,0.016875,
2MASXJ03184738+4125421,1237661055281726251,49.697477500455506,41.428373590994504,3628,301,1,103,GALAXY,16.970010000000002,15.20529,14.436810000000001,14.04261,13.79561,0.019967,
2MASXJ03195296+4118082,1237661055281856815,49.97079148252,41.302464980166796,3628,301,1,105,GALAXY,16.04403,14.092789999999999,13.33511,12.895430000000001,12.60219,0.0121,
2MASXJ03205074+4136015,1237661055818727654,50.21126939703029,41.6004244574191,3628,301,2,105,GALAXY,16.11812,14.19643,13.352170000000001,12.93474,12.65784,0.0177,
2MASXJ03185112+4123321,1237661055281726775,49.7128793782931,41.3923537508079,3628,301,1,103,GALAXY,17.6529,16.06325,15.313089999999999,14.96907,14.73756,0.020630000000000003,SPEC
2MASXJ03205776+4130229,1237661059574399996,50.24088811115129,41.5063450312193,3629,301,1,68,GALAXY,16.514870000000002,14.544889999999999,13.62031,13.19447,12.89596,0.016561000000000003,
2MASXJ03205658+4126205,1237661059574464709,50.2357250698434,41.438850439647396,3629,301,1,69,GALAXY,19.18066,17.82471,16.74919,16.387439999999998,16.30022,0.020104,SPEC
CGCG540-089,1237661055281725859,49.64973211081679,41.4772107973264,3628,301,1,103,GALAXY,16.446620000000003,14.541279999999999,13.65955,13.26645,13.19794,0.011148,
2MASXJ03210041+4133449,1237661055818727967,50.25171657724339,41.562463682616205,3628,301,2,105,GALAXY,16.46208,14.547839999999999,13.71066,13.29809,12.96585,0.016081,
2MASXJ03194454+4116411,1237661055281856814,49.9356066702471,41.2780792749815,3628,301,1,105,GALAXY,16.411579999999997,14.43092,13.61605,13.18622,13.028210000000001,0.018006,
2MASXJ03204928+4122145,1237661059574464751,50.205482070789,41.3706843352631,3629,301,1,69,GALAXY,16.223470000000002,14.37558,13.49027,13.07002,12.83826,0.016511,
2MASXJ03201328+4117122,1237661055281857617,50.055279037161796,41.2868743263484,3628,301,1,105,GALAXY,17.25154,15.778360000000001,15.19951,14.94784,14.79616,0.023606,
2MASXJ03210424+4133199,1237661055818727970,50.2676412089476,41.5556280734172,3628,301,2,105,GALAXY,17.18305,15.356420000000002,14.55866,14.18069,13.892779999999998,0.015144,
2MASXJ03210142+4126039,1237661059574465600,50.2558101944956,41.43446266571571,3629,301,1,69,GALAXY,18.155620000000003,16.40654,15.64051,15.28164,15.00525,0.013347,SPEC
2MASXJ03194676+4116132,1237661055281856829,49.9449358441035,41.270382598862,3628,301,1,105,GALAXY,19.550060000000002,15.58562,14.87556,14.45899,14.338410000000001,0.015265,SPEC
2MASXJ03185824+4142091,1237661059574268044,49.742770051483795,41.7023783449143,3629,301,1,66,GALAXY,16.203120000000002,14.3799,13.5925,13.22618,12.928980000000001,0.014166,
2MASXJ03210223+4124339,1237661059574464845,50.259278512821396,41.409475221360395,3629,301,1,69,GALAXY,16.68921,14.77602,13.950470000000001,13.54261,13.2507,0.016595,
2MFGC02743,1237661055818662302,50.1376824405423,41.732256847018,3628,301,2,104,GALAXY,17.40452,15.79662,15.28152,15.020829999999998,14.89567,0.024397,
UGC02673,1237661055281856813,50.0068229200445,41.2511539899184,3628,301,1,105,GALAXY,15.54756,13.575829999999998,12.74921,12.32929,12.05189,0.014790000000000001,
2MASXJ03183887+4140080,1237661059574203221,49.662149427877,41.66894258942771,3629,301,1,65,GALAXY,17.19763,15.30539,14.514629999999999,14.140939999999999,13.856279999999998,0.014407,
